name	category	source	size	speed	ac	attack	ability_scores	special_qualities	starting_stats	advancement	flavor	monster_url	url
Dunkleosteus	Animal	Bestiary 6 pg. 312	Medium	swim 60 ft.	+4 natural armor	bite (1d8)	Str 14, Dex 18, Con 10, Int 1, Wis 13, Cha 6	low-light vision.	Size Medium; Speed swim 60 ft.; AC +4 natural armor; Attack bite (1d8); Ability Scores Str 14, Dex 18, Con 10, Int 1, Wis 13, Cha 6; Special Qualities low-light vision.	7th-Level Advancement: Size Large; AC +2 natural armor; Attack bite (2d6); Ability Scores Str +8, Dex -2, Con +4; Special Qualities grab (bite), gulp.	A gigantic, prehistoric fish cuts through the water, its head like a snapping turtle, complete with sharp, toothlike plates.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Dunkleosteus	https://aonprd.com/DruidCompanions.aspx?ItemName=Dunkleosteus
Elasmotherium	Animal	Bestiary 6 pg. 312	Medium	40 ft.	+4 natural armor	gore (1d8)	Str 14, Dex 12, Con 15, Int 2, Wis 17, Cha 3	low-light vision, scent.	Size Medium; Speed 40 ft.; AC +4 natural armor; Attack gore (1d8); Ability Scores Str 14, Dex 12, Con 15, Int 2, Wis 17, Cha 3; Special Qualities low-light vision, scent.	7th-Level Advancement: Size Large; AC +3 natural armor; Attack gore (2d6); Ability Scores Str +8, Dex -2, Con +4; Special Attacks impaling horn, powerful charge (gore).	This lumbering, four-legged, rhino-like beast has thick hide and a single immense horn protruding from the top of its head.		https://aonprd.com/DruidCompanions.aspx?ItemName=Elasmotherium
Electric Eel	Animal	Pathfinder RPG Bestiary pg. 119	Small	5 ft., swim 30 ft.		bite (1d6)	Str 12, Dex 14, Con 18, Int 1, Wis 10, Cha 6	amphibious, low-light vision, electricity resistance 5.	Size Small; Speed 5 ft., swim 30 ft.; Attack bite (1d6); Ability Scores Str 12, Dex 14, Con 18, Int 1, Wis 10, Cha 6; Special Qualities amphibious, low-light vision, electricity resistance 5.	4th-Level Advancement: AC +2 natural armor; Ability Scores Dex +2, Con +2; Special Attacks electricity (1d6); Special Qualities electricity resistance 10.	This six-foot-long, snake-like fish moves slowly. A strange popping and snapping sound occasionally emits from the creature’s body.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Electric%20Eel	https://aonprd.com/DruidCompanions.aspx?ItemName=Electric%20Eel
Elephant/Mastodon	Animal	Pathfinder RPG Bestiary pg. 128	Medium	40 ft.	+4 natural armor	gore (1d8), slam (1d6)	Str 14, Dex 14, Con 13, Int 2, Wis 13, Cha 7	low-light vision, scent.	Size Medium; Speed 40 ft.; AC +4 natural armor; Attack gore (1d8), slam (1d6); Ability Scores Str 14, Dex 14, Con 13, Int 2, Wis 13, Cha 7; Special Qualities low-light vision, scent.	7th-Level Advancement: Size Large; AC +3 natural armor; Attack gore (2d6), slam (1d8); Ability Scores Str +8, Dex -2, Con +4; Special Attacks trample (2d6).	These thick-skinned animals bear large ivory tusks flanking a long, prehensile snout.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Elephant	https://aonprd.com/DruidCompanions.aspx?ItemName=Elephant/Mastodon
Elk	Animal	Bestiary 3 pg. 312	Medium	50 ft.	+1 natural armor	gore (1d6) or 2 hooves (1d3)	Str 12, Dex 17, Con 14, Int 2, Wis 15, Cha 5	low-light vision.	Size Medium; Speed 50 ft.; AC +1 natural armor; Attack gore (1d6) or 2 hooves (1d3); Ability Scores Str 12, Dex 17, Con 14, Int 2, Wis 15, Cha 5; Special Qualities low-light vision.	7th-Level Advancement: Size Large; AC +2 natural armor; Attack gore (1d8) or 2 hooves (1d4); Ability Scores Str +8, Dex -2, Con +4.	This majestic beast stands the height of a man at its shoulders, a many-tipped rack of proud antlers crowning its head.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Elk	https://aonprd.com/DruidCompanions.aspx?ItemName=Elk
Enchanter Heron	Animal	Pathfinder #121: The Lost Outpost pg. 82	Medium	30 ft., fly 20 ft. (average)	+2 natural armor	bite (1d6)	Str 13, Dex 15, Con 12, Int 2, Wis 11, Cha 7	low-light vision, throat sack.	Size Medium; Speed 30 ft., fly 20 ft. (average); AC +2 natural armor; Attack bite (1d6); Ability Scores Str 13, Dex 15, Con 12, Int 2, Wis 11, Cha 7; Special Qualities low-light vision, throat sack.	7th-Level Advancement: Size Large; AC +2 natural armor; Attack bite (1d8); Ability Scores Str +4, Dex -2, Con +2; Special Attacks swallow whole.	This large bird has gray-and-white feathers, a long beak, and a bulbous sac on its throat that glows with a pale, sapphire light.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Enchanter%20Heron	https://aonprd.com/DruidCompanions.aspx?ItemName=Enchanter%20Heron
Eohippus	Animal	Ultimate Wilderness pg. 179	Small	40 ft.	+2 natural armor	bite (1d4)	Str 11, Dex 15, Con 12, Int 2, Wis 11, Cha 4	low-light vision, scent.	Size Small; Speed 40 ft.; AC +2 natural armor; Attack bite (1d4); Ability Scores Str 11, Dex 15, Con 12, Int 2, Wis 11, Cha 4; Special Qualities low-light vision, scent.	4th-Level Advancement: Ability Scores Dex +2, Con +2.	The eohippus is a small, primeval ancestor of the modern horse. It has three-toed feet rather than hooves.		https://aonprd.com/DruidCompanions.aspx?ItemName=Eohippus
Eurypterid	Animal, Vermin	Ultimate Wilderness pg. 184	Medium	20 ft., swim 40 ft.	+2 natural armor	2 claws (1d3), sting (1d3 plus poison)	Str 10, Dex 11, Con 12, Int —, Wis 13, Cha 2	darkvision 60 ft.	Size Medium; Speed 20 ft., swim 40 ft.; AC +2 natural armor; Attack 2 claws (1d3), sting (1d3 plus poison); Ability Scores Str 10, Dex 11, Con 12, Int —, Wis 13, Cha 2; Special Attacks poison (frequency 1 round [4]; effect 1 Con damage; cure 1 save; Con-based DC); Special Qualities darkvision 60 ft.; CMD +8 vs. trip.	7th-Level Advancement: Size Large; AC +3 natural armor; Attack 2 claws (1d4), sting (1d4 plus poison); Ability Scores Str +8, Dex -2, Con +4; Special Attacks poison (frequency 1 round [6]; effect 1d2 Con damage; cure 1 save; Con-based DC)..	Also known as sea scorpions, these aquatic insects have pincers and a long stinger.		https://aonprd.com/DruidCompanions.aspx?ItemName=Eurypterid
Faerie Mount	Animal	Pathfinder #119: Prisoners of the Blight pg. 82	Small	30 ft.	+1 natural armor	bite (1d4)	Str 9, Dex 12, Con 15, Int 2, Wis 13, Cha 12	low-light vision, scent, stability.	Size Small; Speed 30 ft.; AC +1 natural armor; Attack bite (1d4); Ability Scores Str 9, Dex 12, Con 15, Int 2, Wis 13, Cha 12; Special Qualities low-light vision, scent, stability.	4th-Level Advancement: Size Medium; Speed 40 ft.; Attack bite (1d6); Ability Scores Str +4, Dex -2, Con +2; Special Qualities sure-footed.	Short legs and overlarge ears make this broad-chested canine seem almost comical.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Faerie%20Mount	https://aonprd.com/DruidCompanions.aspx?ItemName=Faerie%20Mount
Falcon	Animal	Ultimate Wilderness pg. 179	Small	10 ft., fly 90 ft. (good)	+1 natural armor	bite (1d4), 2 talons (1d3)	Str 10, Dex 15, Con 11, Int 2, Wis 15, Cha 6	low-light vision.	Size Small; Speed 10 ft., fly 90 ft. (good); AC +1 natural armor; Attack bite (1d4), 2 talons (1d3); Ability Scores Str 10, Dex 15, Con 11, Int 2, Wis 15, Cha 6; Special Qualities low-light vision.	4th-Level Advancement: Ability Scores Dex +2, Con +2.	This swift raptor has amazing eyesight and sharp talons.		https://aonprd.com/DruidCompanions.aspx?ItemName=Falcon
Frilled Lizard, Giant	Animal	Ultimate Wilderness pg. 179	Medium	30 ft., climb 30 ft.	+4 natural armor	bite (1d6), tail (1d4)	Str 13, Dex 15, Con 13, Int 2, Wis 14, Cha 10	low-light vision, scent.	Size Medium; Speed 30 ft., climb 30 ft.; AC +4 natural armor; Attack bite (1d6), tail (1d4); Ability Scores Str 13, Dex 15, Con 13, Int 2, Wis 14, Cha 10; Special Attacks intimidating charge (Pathfinder RPG Bestiary 194); Special Qualities low-light vision, scent.	7th-Level Advancement: Size Large; AC +2 natural armor; Attack bite (1d8), tail (1d6); Ability Scores Str +8, Dex -2, Con +4.	This large lizard can display a frightening frill on its neck when it charges.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Giant%20Frilled%20Lizard	https://aonprd.com/DruidCompanions.aspx?ItemName=Frilled%20Lizard,%20Giant
Frog	Animal	Pathfinder RPG Bestiary pg. 135	Medium	30 ft., swim 30 ft.	+1 natural armor	bite (1d6)	Str 15, Dex 13, Con 16, Int 1, Wis 9, Cha 6	low-light vision, scent.	Size Medium; Speed 30 ft., swim 30 ft.; AC +1 natural armor; Attack bite (1d6); Ability Scores Str 15, Dex 13, Con 16, Int 1, Wis 9, Cha 6; Special Attacks tongue, pull; Special Qualities low-light vision, scent.	4th-Level Advancement: Ability Scores Str +2, Dex +2; Special Attacks swallow whole.	This creature looks like a normal frog, with moist, mottled, blackish-green skin, but grown to truly monstrous size.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Giant%20Frog	https://aonprd.com/DruidCompanions.aspx?ItemName=Frog
Frog Father	Animal	Bestiary 5 pg. 313	Medium	30 ft., swim 30 ft.	+1 natural armor	bite (1d6)	Str 15, Dex 13, Con 16, Int 1, Wis 9, Cha 6	low-light vision, scent.	Size Medium; Speed 30 ft., swim 30 ft.; AC +1 natural armor; Attack bite (1d6); Ability Scores Str 15, Dex 13, Con 16, Int 1, Wis 9, Cha 6; Special Attacks tongue, pull; Special Qualities low-light vision, scent.	4th-Level Advancement: Ability Scores Str +2, Dex +2; Special Attacks swallow whole.	This elephantine amphibian has a grotesquely long tongue and beady eyes.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Frog%20Father	https://aonprd.com/DruidCompanions.aspx?ItemName=Frog%20Father
Gallerok	Animal	Pathfinder #118: Siege of Stone pg. 83	Medium	30 ft., climb 20 ft.	+2 natural armor	bite (1d4)	Str 12, Dex 16, Con 13, Int 1, Wis 10, Cha 5	darkvision 60 ft., low-light vision.	Size Medium; Speed 30 ft., climb 20 ft.; AC +2 natural armor; Attack bite (1d4); Ability Scores Str 12, Dex 16, Con 13, Int 1, Wis 10, Cha 5; Special Qualities darkvision 60 ft., low-light vision.	4th-Level Advancement: Size Large; AC +2 natural armor; Attack bite (1d6); Ability Scores Str +4, Dex -2, Con +2; Special Attacks constrict (1d6), grab.	This stout, serpentine creature’s body ripples with muscle. Jagged fangs line its broad, powerful jaws.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Gallerok	https://aonprd.com/DruidCompanions.aspx?ItemName=Gallerok
Gar	Animal	Bestiary 2 pg. 128	Medium	swim 60 ft.	+1 natural armor	bite (1d6)	Str 14, Dex 14, Con 15, Int 1, Wis 13, Cha 2	low-light vision.	Size Medium; Speed swim 60 ft.; AC +1 natural armor; Attack bite (1d6); Ability Scores Str 14, Dex 14, Con 15, Int 1, Wis 13, Cha 2; Special Attacks grab; Special Qualities low-light vision.	7th-Level Advancement: Size Large; AC +3 natural armor; Attack bite (1d8); Ability Scores Str +8, Dex -2, Con +4.	This long, lean fish has a muscular body and a head with long jaws filled with sharp teeth.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Gar	https://aonprd.com/DruidCompanions.aspx?ItemName=Gar
Giant Raven	Animal	Bestiary 6 pg. 312	Small	20 ft., fly 50 ft.		bite (1d4)	Str 8, Dex 13, Con 10, Int 2, Wis 15, Cha 7	low-light vision, scavenger.	Size Small; Speed 20 ft., fly 50 ft.; Attack bite (1d4); Ability Scores Str 8, Dex 13, Con 10, Int 2, Wis 15, Cha 7; Special Qualities low-light vision, scavenger.	4th-Level Advancement: Size Medium; AC +2 natural armor; Attack bite (1d6); Ability Scores Str +4, Dex +2, Con +2.	This glossy, jet-black bird stands as tall as a dwarf. Its eerily intelligent black eyes are quick to take in everything around it.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Giant%20Raven	https://aonprd.com/DruidCompanions.aspx?ItemName=Giant%20Raven
Giganotosaurus	Animal	Bestiary 6 pg. 312	Medium	40 ft.	+4 natural armor	bite (1d6),2 claws (1d3)	Str 14, Dex 16, Con 10, Int 2, Wis 15, Cha 10	low-light vision, scent.	Size Medium; Speed 40 ft.; AC +4 natural armor; Attack bite (1d6),2 claws (1d3); Ability Scores Str 14, Dex 16, Con 10, Int 2, Wis 15, Cha 10; Special Qualities low-light vision, scent.	7th-Level Advancement: Size Large; AC +3 natural armor; Attack bite (1d8), 2 claws (1d4); Ability Scores Str +8, Dex -2, Con +4; Special Qualities grab (bite).	This bipedal dinosaur has a large head and cavernous jaws full of large, sharp teeth.		https://aonprd.com/DruidCompanions.aspx?ItemName=Giganotosaurus
Giraffe	Animal	Bestiary 4 pg. 311	Medium	50 ft.	+2 natural armor	2 hooves (1d6)	Str 16, Dex 17, Con 12, Int 2, Wis 13, Cha 7	low-light vision, natural weapons.	Size Medium; Speed 50 ft.; AC +2 natural armor; Attack 2 hooves (1d6); Ability Scores Str 16, Dex 17, Con 12, Int 2, Wis 13, Cha 7; Special Qualities low-light vision, natural weapons.	7th-Level Advancement: Size Large; AC +2 natural armor; Attack 2 hooves (1d8), slam (1d8); Ability Scores Str +4, Dex -2, Con +4.	This animal, covered in a spotted pattern, has a disproportionately long neck that allows it to tower over other animals.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Giraffe	https://aonprd.com/DruidCompanions.aspx?ItemName=Giraffe
Gliding Turtle	Animal	Pathfinder #121: The Lost Outpost pg. 83	Medium	10 ft., swim 20 ft.	+2 natural armor	bite (1d6)	Str 12, Dex 12, Con 12, Int 2, Wis 11, Cha 5	low-light vision, shell.	Size Medium; Speed 10 ft., swim 20 ft.; AC +2 natural armor; Attack bite (1d6); Ability Scores Str 12, Dex 12, Con 12, Int 2, Wis 11, Cha 5; Special Qualities low-light vision, shell.	4th-Level Advancement: Size Large; Speed fly 30 ft. (clumsy); AC +3 natural armor; Attack bite (1d8); Ability Scores Str +2, Dex -2, Con +2; Special Attacks gliding charge; Special Qualities glide.	This giant turtle has a large, thin membrane of scaly skin extending from its shell to its legs.		https://aonprd.com/DruidCompanions.aspx?ItemName=Gliding%20Turtle
Goblin Dog	Animal	Pathfinder RPG Bestiary pg. 157	Small	50 ft.		bite (1d4)	Str 11, Dex 16, Con 11, Int 2, Wis 12, Cha 8	low-light vision, scent.	Size Small; Speed 50 ft.; Attack bite (1d4); Ability Scores Str 11, Dex 16, Con 11, Int 2, Wis 12, Cha 8; Special Attacks allergic reaction; Special Qualities low-light vision, scent.	4th-Level Advancement: Size Medium; AC +1 natural armor; Attack bite (1d6); Ability Scores Str +4, Dex -2, Con +4.	This mangy dog's face has the flat nose, beady eyes, and protruding teeth of a rat grown grotesquely large.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Goblin%20Dog	https://aonprd.com/DruidCompanions.aspx?ItemName=Goblin%20Dog
Goliath Frog	Animal	Bestiary 5 pg. 313	Medium	30 ft., swim 30 ft.	+1 natural armor	bite (1d6)	Str 15, Dex 13, Con 16, Int 1, Wis 9, Cha 6	low-light vision, scent.	Size Medium; Speed 30 ft., swim 30 ft.; AC +1 natural armor; Attack bite (1d6); Ability Scores Str 15, Dex 13, Con 16, Int 1, Wis 9, Cha 6; Special Attacks tongue, pull; Special Qualities low-light vision, scent.	4th-Level Advancement: Ability Scores Str +2, Dex +2; Special Attacks swallow whole.	This massive, mottled amphibian glistens with slime, and its tongue drips with saliva.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Goliath%20Frog	https://aonprd.com/DruidCompanions.aspx?ItemName=Goliath%20Frog
Gorthek	Animal	Monster Codex pg. 172	Medium	40 ft.	+4 natural armor	gore (1d8)	Str 16, Dex 11, Con 13, Int 2, Wis 10, Cha 5	darkvision 60 ft., low-light vision.	Size Medium; Speed 40 ft.; AC +4 natural armor; Attack gore (1d8); Ability Scores Str 16, Dex 11, Con 13, Int 2, Wis 10, Cha 5; Special Qualities darkvision 60 ft., low-light vision.	7th-Level Advancement: Size Large; AC +3 natural armor; Attack gore (2d6); Ability Scores Str +8, Dex -2, Con +4; Special Attacks powerful charge (gore, 4d6+twice Strength modifier).	This massive quadruped has a thick, wrinkled hide, curving horns, and shaggy hair that frames its leonine face.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Gorthek	https://aonprd.com/DruidCompanions.aspx?ItemName=Gorthek
Griffon	Animal, Monstrous	Inner Sea Combat pg. 14	Large	30 ft., fly 40 ft. (average	+4 natural armor	bite (1d6)	Str 16, Dex 15, Con 16, Int 5, Wis 13, Cha 8	darkvision 60 ft., low-light vision, scent	Size Large; Speed 30 ft., fly 40 ft. (average; unable to carry a rider while flying); AC +4 natural armor; Attack bite (1d6); Ability Scores Str 16, Dex 15, Con 16, Int 5, Wis 13, Cha 8; Special Qualities darkvision 60 ft., low-light vision, scent; Languages Common (cannot speak).	7th-Level Advancement: Speed 40 ft., fly 80 ft. (average; unable to carry a ride while flying); AC +2 natural armor; Attack bite (1d6), 2 talons (1d6); Ability Scores Str +2, Con +2; Special Attacks pounce, rake (1d6).<br>Mastery (7th Level) The griffon can carry a rider while flying, but reduces its fly speed by half while doing so.	This majestic beast has the body of a lion, the head and forelegs of a great eagle, and a massive pair of feathered wings.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Griffon	https://aonprd.com/DruidCompanions.aspx?ItemName=Griffon
Grizzly Bear	Animal	Ultimate Wilderness pg. 179	Medium	40 ft.	+1 natural armor	bite (1d6), 2 claws (1d4)	Str 17, Dex 13, Con 13, Int 2, Wis 13, Cha 6	low-light vision, scent.	Size Medium; Speed 40 ft.; AC +1 natural armor; Attack bite (1d6), 2 claws (1d4); Ability Scores Str 17, Dex 13, Con 13, Int 2, Wis 13, Cha 6; Special Qualities low-light vision, scent.	7th-Level Advancement: Size Large; AC +4 natural armor; Attack bite (1d8), 2 claws (1d6 plus grab); Ability Scores Str +4, Dex -2, Con +4.	The infamous grizzly bear is a lumbering and quite impressive companion, particularly when it rises up on its hind feet to loom large. Grizzly bears strike fear into the hearts of most who encounter them.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Grizzly%20Bear	https://aonprd.com/DruidCompanions.aspx?ItemName=Grizzly%20Bear
Gulper Plant	Animal, Plant	Ultimate Wilderness pg. 183	Medium	20 ft., climb 10 ft.	+1 natural armor	2 vines* (1d4 plus grab)	Str 12, Dex, 11, Con 13, Int 1, Wis 10, Cha 3	freeze, low-light vision	Size Medium; Speed 20 ft., climb 10 ft.; AC +1 natural armor; Attack 2 vines* (1d4 plus grab); Ability Scores Str 12, Dex, 11, Con 13, Int 1, Wis 10, Cha 3; Special Attacks swallow whole (1d6 acid); Special Qualities freeze, low-light vision; CMD can't be tripped.	7th-Level Advancement: Size Large; AC +2 natural armor; Attack 2 vines* (1d6 plus grab); Ability Scores Str +6, Dex -2, Con +2; Special Attacks swallow whole (1d8 acid)<br>* This is a primary natural attack that deals bludgeoning damage.	This bulbous green plant can climb or crawl via a network of vines. Its central reservoir can gulp down foes to digest them in an internal well of acid, holding them tight while they struggle.		https://aonprd.com/DruidCompanions.aspx?ItemName=Gulper%20Plant
Hammerhead Shark	Animal	Ultimate Wilderness pg. 179	Medium	swim 60 ft.	+3 natural armor	bite (1d6)	Str 13, Dex 14, Con 12, Int 1, Wis 15, Cha 6	aquatic, low-light vision, scent.	Size Medium; Speed swim 60 ft.; AC +3 natural armor; Attack bite (1d6); Ability Scores Str 13, Dex 14, Con 12, Int 1, Wis 15, Cha 6; Special Qualities aquatic, low-light vision, scent.	7th-Level Advancement: Size Large; AC +3 natural armor; Attack bite (1d8); Ability Scores Str +2, Dex -2, Con +4; Special Qualities blindsense 30 ft..	This unusual shark is named for its blocky, rectangular head. The creature’s eyes are on each side of its head.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Hammerhead%20Shark	https://aonprd.com/DruidCompanions.aspx?ItemName=Hammerhead%20Shark
Hippocampus	Animal, Monstrous	Inner Sea Combat pg. 14	Large	5 ft., swim 40 ft.	+4 natural armor	bite (1d4)	Str 16, Dex 9, Con 15, Int 2, Wis 12, Cha 11	darkvision 60 ft., low-light vision, scent, water dependency.	Size Large; Speed 5 ft., swim 40 ft.; AC +4 natural armor; Attack bite (1d4); Ability Scores Str 16, Dex 9, Con 15, Int 2, Wis 12, Cha 11; Special Qualities darkvision 60 ft., low-light vision, scent, water dependency.	4th-Level Advancement: Speed Swim 60 ft.; Attack bite (1d6); Ability Scores Str +2, Dex +4.<br>Mastery (7th Level) The hippocampus's swim speed increases by 20 feet, and it gains a tail slap secondary attack that deals 1d4 points of damage plus half its Strength bonus.	This creature has the foreparts of a horse and the hindquarters of a fish. Its forelegs end in splayed fins rather than hooves.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Hippocampus	https://aonprd.com/DruidCompanions.aspx?ItemName=Hippocampus
Hippogriff	Animal, Monstrous	Inner Sea Combat pg. 14	Large	40 ft., fly 60 ft. (average	+2 natural armor	bite (1d6)	Str 15, Dex 15, Con 14, Int 2, Wis 12, Cha 9	darkvision 60 ft., low-light vision, scent.	Size Large; Speed 40 ft., fly 60 ft. (average; unable to carry a rider while flying); AC +2 natural armor; Attack bite (1d6); Ability Scores Str 15, Dex 15, Con 14, Int 2, Wis 12, Cha 9; Special Qualities darkvision 60 ft., low-light vision, scent.	4th-Level Advancement: Speed 40 ft., fly 100 ft. (average; unable to carry a rider while flying); Attack bite (1d6), 2 claws (1d4); Ability Scores Str +2, Con +2.<br>Mastery (7th Level) The hippogriff can carry a rider while flying, but reduces its fly speed by half while doing so.	This large, brown, horse-like creature has a hawk’s wings, talons, and hooked beak.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Hippogriff	https://aonprd.com/DruidCompanions.aspx?ItemName=Hippogriff
Hippopotamus	Animal	Bestiary 2 pg. 157	Medium	40 ft.	+6 natural armor	bite (1d8)	Str 11, Dex 12, Con 12, Int 2, Wis 13, Cha 5	low-light vision, scent, sweat.	Size Medium; Speed 40 ft.; AC +6 natural armor; Attack bite (1d8); Ability Scores Str 11, Dex 12, Con 12, Int 2, Wis 13, Cha 5; Special Qualities low-light vision, scent, sweat.	7th-Level Advancement: Size Large; AC +2 natural armor; Attack bite (2d8); Ability Scores Str +8, Dex -2, Con +4; Special Attacks trample.	This fleshy behemoth wallows forward on four stumpy legs. Its jaws spread wide in a roar of challenge, exposing massive, tusk-like teeth.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Hippopotamus	https://aonprd.com/DruidCompanions.aspx?ItemName=Hippopotamus
Hobbe Hound	Animal	Pathfinder #119: Prisoners of the Blight pg. 89	Medium	40 ft.	+1 natural armor	bite (1d4 plus allergic reaction)	Str 12, Dex 15, Con 15, Int 2, Wis 10, Cha 7	allergic reaction, low-light vision, scent.	Size Medium; Speed 40 ft.; AC +1 natural armor; Attack bite (1d4 plus allergic reaction); Ability Scores Str 12, Dex 15, Con 15, Int 2, Wis 10, Cha 7; Special Qualities allergic reaction, low-light vision, scent.	7th-Level Advancement: AC +3 natural armor; Attack bite (1d6 plus allergic reaction); Ability Scores Str +6, Dex -2, Con +2; Special Qualities fire resistance 3.	Hobgoblin druids, hunters, and rangers who can take an animal companion can choose a hobbe hound.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Hobbe%20Hound	https://aonprd.com/DruidCompanions.aspx?ItemName=Hobbe%20Hound
Horse	Animal	PRPG Core Rulebook pg. 54	Large	50 ft.	+4 natural armor	bite (1d4), 2 hooves* (1d6)	Str 16, Dex 13, Con 15, Int 2, Wis 12, Cha 6	low-light vision, scent. *This is a secondary natural attack, see Combat for more information on how secondary attacks work..	Size Large; Speed 50 ft.; AC +4 natural armor; Attack bite (1d4), 2 hooves* (1d6); Ability Scores Str 16, Dex 13, Con 15, Int 2, Wis 12, Cha 6; Special Qualities low-light vision, scent. *This is a secondary natural attack, see Combat for more information on how secondary attacks work..	4th-Level Advancement: Ability Scores Str +2, Con +2; Special Qualities combat trained.	This proud horse thunders across the grassy plain with fluid grace, wind tugging at its loose-fitting barding.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Horse	https://aonprd.com/DruidCompanions.aspx?ItemName=Horse
Hunting Cactus	Animal, Plant	Ultimate Wilderness pg. 183	Medium	30 ft.	+3 natural armor	2 slams* (1d6)	Str 14, Dex 13, Con 17, Int 2, Wis 13, Cha 6	needles (a creature grappling a hunting cactus or attacking it with a natural attack or unarmed strike takes 1d4 points of piercing damage)	Size Medium; Speed 30 ft.; AC +3 natural armor; Attack 2 slams* (1d6); Ability Scores Str 14, Dex 13, Con 17, Int 2, Wis 13, Cha 6; Special Qualities needles (a creature grappling a hunting cactus or attacking it with a natural attack or unarmed strike takes 1d4 points of piercing damage); CMD +6 vs. trip.	7th-Level Advancement: Size Large; AC +2 natural armor; Attack 2 slams* (1d8); Ability Scores Str +8, Dex -2, Con +2; Special Attacks low-light vision<br>These slam attacks deal both bludgeoning and piercing damage..	Able to crawl swiftly on five rootlike legs, the hunting cactus has long arms it can slam foes with—arms covered with hundreds of thin, sharp needles.		https://aonprd.com/DruidCompanions.aspx?ItemName=Hunting%20Cactus
Hyena	Animal	Pathfinder RPG Bestiary pg. 179	Small	50 ft.	+2 natural armor	bite (1d4 plus trip)	Str 10, Dex 17, Con 13, Int 2, Wis 13, Cha 6	low-light vision, scent.	Size Small; Speed 50 ft.; AC +2 natural armor; Attack bite (1d4 plus trip); Ability Scores Str 10, Dex 17, Con 13, Int 2, Wis 13, Cha 6; Special Qualities low-light vision, scent.	4th-Level Advancement: Size Medium; Attack bite (1d6 plus trip); Ability Scores Str +4, Dex -2, Con +2.	This hyena is covered in shaggy, tan-colored fur with black and brown stripes.		https://aonprd.com/DruidCompanions.aspx?ItemName=Hyena
Impaler Shrike	Animal	Pathfinder #97: In Hell's Bright Shadow pg. 83	Small	10 ft., fly 60 ft. (average)		bite (1d4)	Str 12, Dex 13, Con 13, Int 2, Wis 14, Cha 7	low-light vision.	Size Small; Speed 10 ft., fly 60 ft. (average); Attack bite (1d4); Ability Scores Str 12, Dex 13, Con 13, Int 2, Wis 14, Cha 7; Special Qualities low-light vision.	7th-Level Advancement: Size Medium; AC +2 natural armor; Attack bite (1d6); Ability Scores Str +2, Con +2; Special Attacks impale.	This large bird has brown and gray feathers and a vicious hooked beak.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Impaler%20Shrike	https://aonprd.com/DruidCompanions.aspx?ItemName=Impaler%20Shrike
Kangaroo	Animal	Bestiary 3 pg. 312	Medium	40 ft.		kick (1d4)	Str 12, Dex 14, Con 13, Int 2, Wis 11, Cha 7	low-light vision, scent.	Size Medium; Speed 40 ft.; Attack kick (1d4); Ability Scores Str 12, Dex 14, Con 13, Int 2, Wis 11, Cha 7; Special Qualities low-light vision, scent.	4th-Level Advancement: Size Medium; AC +2 natural armor; Attack kick (1d6); Ability Scores Str +4, Dex +2, Con +2; Special Qualities speed increase (50 ft.).	As tall as a grown human, this mouse-faced creature stands on powerful hind legs and has a stout tail trailing behind.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Kangaroo	https://aonprd.com/DruidCompanions.aspx?ItemName=Kangaroo
