name	types	source	description	prerequisites	benefit	normal	special	mythic	combat_trick	url
Black Market Sleuth		Black Markets pg. 7	You track the dealings of criminals with an expert eye.	Diplomacy 1 rank, Knowledge (local) 1 rank.	You roll twice and take the better result on Diplomacy checks to access black markets or learn about anyone who has contact with black markets. You can roll twice and take the better result on Knowledge (local) checks to recall information about black markets, criminals, and people directly connected to either. You can search for people trying to disappear in a community, attempting a Diplomacy check to track a target rather than a Survival check, but only within an urban environment.					https://aonprd.com/FeatDisplay.aspx?ItemName=Black%20Market%20Sleuth
Black Marketeer		Osirion, Land of the Pharaohs pg. 28	You have many contacts and a keen eye for hidden opportunities in the marketplace.	Appraise 4 ranks, Gather Information 4 ranks, Knowledge (local) 4 ranks.	By utilizing your black market connections, you acquire a resource pool worth 100 gp. This functions like the resource pool gained by the Profits of Kalistrade feat (see Pathfinder Chronicles Campaign Setting page 73) except it can only be used on illegal or illicit items or services (note that something may be illegal or illicit in one area but perfectly acceptable in another) and is centered on Osirion rather than Druma. Typical illegal or illicit items are drugs, poisons, evil magic items, slaves, or dead bodies, though intangibles such as secret information may also qualify (and for these items, a secret of equal value—at the GM’s discretion—must be contributed to the pool).					https://aonprd.com/FeatDisplay.aspx?ItemName=Black%20Marketeer
Blackfire Summoning		Plane-Hopper's Handbook pg. 5	You have learned to make your summons destructive to the fabric of the planes, bringing blackfire in the wake of your magic.	Sacred Summons.	When you summon a single evil outsider, it appears in a flash of blackfire, harming all adjacent nonevil creatures. This deals an amount of damage equal to twice the CR of the summoned creature. An affected creature can attempt a Will save (DC = the DC of the spell used to summon the creature) to halve this damage. A spell augmented with blackfire summoning uses up a spell slot 1 level higher than the spell’s actual level. If you have the blackfire pact class feature, you can apply the benefits of this feat to summoned outsiders of the type or types you have selected for your blackfire pact without raising the spell’s effective level.					https://aonprd.com/FeatDisplay.aspx?ItemName=Blackfire%20Summoning
Blade of the Purge		Pathfinder #132: The Six-Legend Soul pg. 72	Emulating the fervor of Grand Prince Stavian I, you can identify a religion you perceive to be opposed to your own and empower your weapons to strike deadly blows against its adherents.	Bane class feature.	When you activate your bane class feature, you can select a deity or religion other than your own. Your bane effect applies only to followers of that deity or religion.					https://aonprd.com/FeatDisplay.aspx?ItemName=Blade%20of%20the%20Purge
Blasting Boulder		Giants Revisited pg. 19	The boulders you hurl explode upon impact, laying waste to nearby creatures.	Smoking Boulder, base attack bonus +13, heat rock special attack.	You can infuse rocks thrown as part of an attack action with volatile fire energies, adding one of the following effects to a thrown rock affected by your Smoking Boulder feat.					https://aonprd.com/FeatDisplay.aspx?ItemName=Blasting%20Boulder
Blasting Charge		Advanced Class Guide pg. 143	You funnel the power of your bloodrage into a strike capable of erupting with arcane power.	Base attack bonus +7, ability to cast 2nd-level bloodrager spells, bloodrage class feature.	While you are bloodraging, at the end of a charge you can expend a bloodrager spell slot as a swift action to imbue your charge attack with extra power. You deal an additional 1d6 points of damage per level of the spell slot expended. This extra damage is force damage, and it’s not multiplied in the case of a critical hit.<br>If your bloodline has a specific energy type associated with it (such as the elemental or draconic bloodlines), you can choose to increase the damage to 1d8 points per level of the spell slot expended, and this extra damage is of that energy type.					https://aonprd.com/FeatDisplay.aspx?ItemName=Blasting%20Charge
Blazing Channel		Cohorts and Companions pg. 15	Your holy power burns the undead like fire.	Turn Undead, channel positive energy class feature.	When you use your Turn Undead feat, undead failing their saving throw are engulfed in holy fire. This functions identically to catching on fire (Core Rulebook 444), but the damage dealt is divine (like the divine damage from flame strike) rather than fire. Water cannot extinguish this holy fire, but any negative energy effect that heals the creature of at least 5 points of damage extinguishes the flames instantly.					https://aonprd.com/FeatDisplay.aspx?ItemName=Blazing%20Channel
Bless Equipment		Undead Slayer's Handbook pg. 7	You can bless armor and weapons with a touch to imbue them with magical properties.	Caster level 3rd, channel energy class feature.	As a standard action, you may expend uses of your channel energy ability to touch a single weapon, suit of armor, or shield and temporarily grant it one weapon, armor, or shield special ability. To bless a piece of equipment with a particular blessing, you must expend a number of uses of channel energy equal to the number listed in the table above, and your caster level must be equal to or greater than that listed for the selected blessing.<br>This blessing lasts for a number of rounds equal to the number of damage dice you are capable of dealing or healing with your channel energy ability (for example, the blessing of a cleric capable of channeling 3d6 points of damage would last for 3 rounds), during which time the item is treated as though it possessed the selected special ability. If the piece of equipment belongs to an unwilling creature, that creature may attempt a Will save to prevent the blessing, as if attempting a saving throw against your channel energy ability (so bonuses from channel resistance and similar effects apply); if the creature succeeds at its save, the channeled energy is expended to no effect.<br>Only magical and masterwork weapons, armor, and shields may be blessed with this feat. When you bless a masterwork item, you must expend one additional use of your channel energy ability beyond those normally expended to grant the selected blessing. In addition to the selected blessing, the masterwork item gains a temporary +1 enhancement bonus for the blessing’s duration.<br>You can grant a piece of equipment only one blessing at a time. Blessing an item that has already been blessed by you or another character replaces the preexisting blessing with the new one and resets the duration.					https://aonprd.com/FeatDisplay.aspx?ItemName=Bless%20Equipment
Blessed Hammer		Inner Sea Gods pg. 207	Your god’s power radiates from your warhammer.	Ability to cast 3rd-level divine spells, proficient with warhammer, worshiper of Torag.	You can use any warhammer you wield as a holy symbol when casting spells that require a divine focus or when you channel energy.<br>Furthermore, as a swift action when you cast a divine touch spell, you can choose to have the warhammer carry the charge of the spell instead of your hand. When you deliver a touch spell with your warhammer you can do so as part of melee attack made with the warhammer. If you drop the warhammer or the warhammer is disarmed while carrying a charge, the charge is lost.					https://aonprd.com/FeatDisplay.aspx?ItemName=Blessed%20Hammer
Blessed Striker		Advanced Class Guide pg. 143	You attacks are augmented by the strength of your and your deity’s shared alignment.	Base attack bonus +11, ability to cast divine spells, alignment must be within one step of your deity’s.	All of your attacks are treated as having whatever alignment components you and your deity share for the purpose of overcoming damage reduction.		If you grossly violate the code of conduct required by your deity or no longer worship your deity, you lose access to this feat. You can regain it once you atone for your misdeeds to your deity (see the atonement spell on page 245 of the Core Rulebook).			https://aonprd.com/FeatDisplay.aspx?ItemName=Blessed%20Striker
Blessed	Story	Quests and Campaigns pg. 8	The repeated notice and boons of celestials have marked<br>you as one of their chosen agents.	You must have had friendly contact with<br>a good outsider that would qualify as a challenging foe, be a sorcerer with the celestial bloodline, or have direct<br>celestial ancestry (such as by being an aasimar).	You gain a +2 bonus on Charisma-based<br>checks involving good-aligned outsiders and a +1 bonus<br>to the DC of spells and spell-like abilities you use against<br>such creatures. You take a –2 penalty on Charisma-based<br>checks involving evil-aligned outsiders.					https://aonprd.com/FeatDisplay.aspx?ItemName=Blessed
Blight Guide		Pathfinder #119: Prisoners of the Blight pg. 61	Your confidence in exploring dangerous regions inspires the same in your companions.	Blight Survivalist, Skill Focus (Survival).	Your bonus on saving throws gained from the Blight Survivalist feat extends to your allies within 30 feet. Furthermore, once per day, if you would fail a saving throw against an environmental hazard or weather effect, you can reroll that save, but you must use the second result, even if it is lower.					https://aonprd.com/FeatDisplay.aspx?ItemName=Blight%20Guide
Blight Survivalist		Pathfinder #119: Prisoners of the Blight pg. 61	You have learned to survive in dangerous environments.	Skill Focus (Survival).	You gain a +3 bonus on saving throws against environmental hazards and weather effects.		If you have the favored terrain class feature and the blighted land being explored matches one of those terrains, you can choose to use your favored terrain bonus in place of the +3 bonus granted by this feat.			https://aonprd.com/FeatDisplay.aspx?ItemName=Blight%20Survivalist
Blinding Light		Blood of Angels pg. 24	You use your impenetrable luminescence to disorient harbingers of darkness.	Inner Light, aasimar, daylight spell-like ability.	Whenever an enemy unsuccessfully attempts to counter or dispel your daylight spell-like ability, it must succeed at a Fortitude saving throw (DC 10 + 1/2 your character level + your Charisma modifier) or become blinded for 1 round as its mind is overwhelmed with celestial light. This is a supernatural mind-affecting effect.					https://aonprd.com/FeatDisplay.aspx?ItemName=Blinding%20Light
Blissful Spell	Metamagic	Planar Adventures pg. 26	The absolute peace of Nirvana infuses your spells, giving pause to foes and granting boldness to allies.		You can alter any spell that targets a single creature to become a blissful spell, although the exact effects of the metamagic vary depending on whether the spell is beneficial or offensive. A creature successfully hit by an offensive blissful spell (if the spell requires an attack roll) or that fails its saving throw against an offensive blissful spell takes a –2 penalty on attack rolls and weapon damage rolls for 1 round. A beneficial blissful spell instead grants affected creatures a +2 morale bonus on skill checks and saving throws for 1 round in addition to its normal effects. A blissful spell gains the good descriptor, and the additional effect is a mind-affecting compulsion effect.<br>A blissful spell uses a spell slot 1 level higher than the spell’s normal spell level. Spells with the evil descriptor can’t be blissful spells.					https://aonprd.com/FeatDisplay.aspx?ItemName=Blissful%20Spell
Bloatmage Initiate		City of Strangers pg. 41	Your introduction to the ways of the bloatmage allows you to use elaborate rituals and gruesome rites to increase the amount of blood and lymph in your body, expanding your reserves of magical energy.	Spell Focus (any school).	You learn the basics of the ancient art of hemotheurgy. Pick one school of magic in which you possess the Spell Focus feat—you cast spells from this school of magic at +1 caster level. This bonus stacks with the bonus from Spell Focus. Unfortunately, the bloating side effects increase your girth to such a point that you are constantly under the effects of a medium load—your maximum bonus to AC from Dexterity is +3, you gain an armor check penalty of –3, and your speed decreases as appropriate (generally from 30 feet to 20 feet for a Medium creature).					https://aonprd.com/FeatDisplay.aspx?ItemName=Bloatmage%20Initiate
Block Chakras		Martial Arts Handbook pg. 28	You’ve learned how to block the lower chakras of your foes.	Psychic Sensitivity or levels in an occult class, brawler’s flurry or flurry of blows class feature, ki pool.	As a standard action, you can spend 1 ki point to make a single unarmed strike that attempts to block one of the target’s chakras. If you hit the target and deal damage, you can select either the root, sacral, or navel chakra, as long as you can open that chakra yourself. The target suffers a specific effect based on the chosen chakra (see below), though it can reduce these effects with a successful Fortitude save (DC = 10 + half your character level + the ability modifier you use to calculate your ki pool).<br>Root: The target’s DR is reduced by 10 for 1 minute. If the target has multiple forms of DR, you choose which DR is reduced. On a successful save, the target’s DR is instead reduced by 5 for 1 round.<br>Sacral: The target can’t use any of its speeds except its land speed (or swim speed for an aquatic creature) for 1 round, and it moves at half speed for 1 minute. If it was flying, the target can attempt a Fly check to fall safely. On a successful save, the target instead moves at half speed for 1 round.<br>Navel: The target takes a –2 penalty on attack rolls and damage rolls, and it reduces the DCs of its spells and abilities by 2 for 1 minute. On a successful save, the penalty and reduction is halved and lasts for 1 round.					https://aonprd.com/FeatDisplay.aspx?ItemName=Block%20Chakras
Block Upper Chakras		Martial Arts Handbook pg. 28	You can block additional chakras.	Block Chakras, Psychic Sensitivity or levels in an occult class, brawler’s flurry or flurry of blows class feature, ki pool, character level 8th.	When you use Block Chakras, you can also select from the heart, throat, brow, and crown chakras, as long as you can open the chosen chakra yourself, with the following effects.<br>Heart: The target can’t recover hit points from any source for 1 minute. This prevents hit point recovery from fast healing and regeneration but doesn’t deactivate regeneration altogether, so it does not allow a creature with regeneration to be killed through hit point damage. On a successful save, the target recovers only half as many hit points for 1 round.<br>Throat: The target can’t speak or cast spells with a thought component for 1 round, and for 1 minute, actions that require speaking or thought components have a 20% chance to fail. On a successful save, actions that require speaking or thought components have a 50% chance to fail for 1 round.<br>Brow: The target is blinded for 1 minute. On a successful save, the target loses all special forms of vision (such as lowlight vision, see in darkness, and true seeing) for 1 round; this doesn’t affect nonvisual senses like blindsight and blindsense.<br>Crown: The target must roll twice and take the lower result on all d20 rolls for 1 round and on its first attack roll or caster level check each round for 1 minute. On a successful save, the target must roll twice and take the lower result on its next d20 roll.					https://aonprd.com/FeatDisplay.aspx?ItemName=Block%20Upper%20Chakras
Blood Drinker		Advanced Race Guide pg. 99	Consuming blood reinvigorates you.	Dhampir.	Choose one humanoid subtype, such as "goblinoid" (this subtype cannot be "dhampir"). You have acquired a taste for the blood of creatures with this subtype. Whenever you drink fresh blood from such a creature, you gain 5 temporary hit points and a +1 bonus on checks and saves based on Constitution. The effects last 1 hour. If you feed multiple times, you continue to gain hit points to a maximum of 5 temporary hit points for every three Hit Dice you have, but the +1 bonus on Constitution-based skill checks and saving throws does not stack.<br>Normally, you can only drink blood from an opponent who is helpless, grappled, paralyzed, pinned, unconscious, or similarly disabled. If you have a bite attack, you can drink blood automatically as part of your bite attack; otherwise, you must first cut your target by dealing 1 hit point of damage with a slashing or piercing weapon (though you may feed upon a creature with severe wounds or a bleed effect without cutting it first). Once you cut the target, you can drink from its wound as a standard action. Drinking blood deals 2 points of Constitution damage to the creature you feed upon.<br>The blood must come from a living creature of the specified humanoid subtype. It cannot come from a dead or summoned creature. Feeding on unwilling intelligent creatures is an evil act.					https://aonprd.com/FeatDisplay.aspx?ItemName=Blood%20Drinker
Blood Feaster		Advanced Race Guide pg. 100	Consuming blood gives you superhuman strength.	Blood Drinker, base attack bonus +6, dhampir.	If you use your Blood Drinker feat to drain 4 or more points of Constitution from a living creature, you gain a +2 bonus on damage rolls and a +1 bonus on Strength-based skill checks. This bonus lasts for a number of rounds equal to 1/2 your Hit Dice.					https://aonprd.com/FeatDisplay.aspx?ItemName=Blood%20Feaster
Blood Salvage		Advanced Race Guide pg. 100	You do not need to drink blood from a living creature to gain healing benefits.	Blood Drinker, dhampir.	You can use your Blood Drinker feat on a dead creature of the appropriate humanoid subtype. The creature must have died less than 6 hours beforehand.	You only benefit from the Blood Drinker feat if you consume fresh blood from a living creature.				https://aonprd.com/FeatDisplay.aspx?ItemName=Blood%20Salvage
Blood Tide		Monster Codex pg. 189	In the throes of blood frenzy, you can unleash a whirlwind of claws and teeth against your foes.	Combat Expertise, Greater Blood Frenzy, base attack bonus +6, blood frenzy ability, sahuagin.	When you make a full attack while in a blood frenzy, you can give up your regular attacks to instead make one melee attack at your highest base attack bonus against each bleeding or wounded opponent within reach. You must use a natural weapon with these attacks, and you must make a separate attack roll against each opponent. You do not need to use the same natural weapon against each opponent.<br>When you use Blood Tide, you also forfeit any extra attacks granted by other feats, spells, or abilities.					https://aonprd.com/FeatDisplay.aspx?ItemName=Blood%20Tide
Blood Ties		Gnomes of Golarion pg. 30	Pointing out your shared kinship with someone gives you the chance to win over creatures associated with your bloodline.	Bluff 1 rank, bloodline class feature, gnome.	When attempting a Diplomacy check to influence a creature with a plausible connection to your sorcerous bloodline, you may instead make a Bluff check. For example, a gnome sorcerer with the draconic bloodline may use this feat against dragons and their kin, but no other creatures.					https://aonprd.com/FeatDisplay.aspx?ItemName=Blood%20Ties
Blood Vengeance		Advanced Race Guide pg. 56	Seeing an ally fall in combat fills you with a raging and murderous fury.	Half-orc or orc, nonlawful.	Whenever one of your allies is reduced to negative hit points or killed, you may enter a state similar to but less powerful than a barbarian’s rage as a free action on your next turn. If you have the rage class feature and are already raging, your morale bonuses to Strength and Constitution increase by +2 for the duration of your rage. If you do not have the rage class feature, or you have no more rage rounds left, this weaker rage gives you all the benefits and penalties of a barbarian’s rage, except your morale bonus to Strength and Constitution is only +2. In either case, this state lasts for 4 rounds.<br>As with a barbarian’s rage, when this weaker rage ends, you are fatigued; if another ally falls before this duration ends, the weaker rage lasts for an additional 4 rounds. This feat does not allow you to enter a rage if you are fatigued. You may only use this feat if the fallen ally had at least as many Hit Dice as you (excluding conjured or summoned allies).					https://aonprd.com/FeatDisplay.aspx?ItemName=Blood%20Vengeance
Blood for the Empire	Teamwork	Pathfinder #132: The Six-Legend Soul pg. 72	When fighting alongside your allies, the sight of a bloodied foe inspires you to greatness, while a martyred comrade compels you to vengeance.	Base attack bonus +4.	You gain a +2 morale bonus on attack and damage rolls against a target that was damaged by an ally with this feat within the last round. When an ally with this feat dies within 30 feet of you, you gain the effects of haste for 1 round.					https://aonprd.com/FeatDisplay.aspx?ItemName=Blood%20for%20the%20Empire
Blood of Heroes	Hero Point	Advanced Player's Guide pg. 323	You have a sense of destiny about you and always seem to succeed, even when the odds are against you.	Hero’s Fortune.	Whenever you gain a level, you gain 2 hero points instead of 1.	Whenever you gain a level, you gain 1 hero point.				https://aonprd.com/FeatDisplay.aspx?ItemName=Blood%20of%20Heroes
Bloodmarked Flight		Blood of the Moon pg. 9	Your attunement to your werebat ancestry has allowed you to master a crude form of flight.	Base attack bonus +5, werebat-kin.	As an additional bestial feature, you can use your change shape ability to gain a fly speed of 30 feet with poor maneuverability if carrying a light load and wearing no armor or light armor, or a fly speed of 20 feet with clumsy maneuverability if carrying a medium or heavy load or wearing medium or heavy armor.					https://aonprd.com/FeatDisplay.aspx?ItemName=Bloodmarked%20Flight
Blowout Shot Deed	Grit	Magical Marketplace pg. 22	By using a specially prepared mix of reagents, you can create concussive blasts with your firearm.	Craft (alchemy) 3 ranks, grit class feature or Amateur GunslingerUC feat.	Spend 1 grit point to retrieve a specially prepared dose of black powder from your person. The next time you use the firearm you’ve loaded with this special black powder, the concussive blast knocks you back 5 feet from the direction at which you were aiming. If there is no available space behind you, you brace yourself against the obstacle and do not move from your square. Any creatures within the first range increment of the firearm struck by this attack take damage as normal and must succeed at a Reflex save (DC = 10 + 1/2 your gunslinger level + your Int modifier) or be pushed back 10 feet. Creatures within two range increments are pushed back 5 feet, while creatures farther away than this are unaffected by the concussive blast.					https://aonprd.com/FeatDisplay.aspx?ItemName=Blowout%20Shot%20Deed
Blustering Bluff		Ultimate Intrigue pg. 75	You can verbally bully others into believing unlikely or outrageous lies.	Cha 13, Bluff 1 rank, Intimidate 1 rank.	When using Bluff to fool a foe, you can bully that person to reduce the penalty for telling an unlikely or far-fetched lie by 5. If you do so and your check would not have succeeded otherwise, after 1d6×10 minutes, the person you fooled realizes you bullied him into believing a lie, treats you as unfriendly, and might report you or take other actions against you.	The penalty for telling unlikely lies is –5, and the penalty for telling far-fetched lies is –10.				https://aonprd.com/FeatDisplay.aspx?ItemName=Blustering%20Bluff
Body Control	Meditation	Faiths and Philosophies pg. 19	You can directly manipulate your autonomic functions.	Wis 11, Meditation Master.	For 24 hours after you meditate, you gain a +1 bonus on Fortitude saving throws against poison, disease, starvation, and effects that would make you fatigued or exhausted. You need only half as much food to avoid starvation, half as much water to avoid dehydration, and half as much sleep to heal injuries, avoid fatigue or exhaustion, and prepare spells.					https://aonprd.com/FeatDisplay.aspx?ItemName=Body%20Control
Body Mastery	Meditation	Faiths and Philosophies pg. 19	Meditation allows you to harden your body against physical attacks.	Wis 19, Body Control, Meditation Master, character level 15th.	For 24 hours after you meditate, you gain damage reduction 2/—.					https://aonprd.com/FeatDisplay.aspx?ItemName=Body%20Mastery
Bolster Jinx		Halflings of Golarion pg. 26	Your ability to resist certain effects somehow makes it even harder for creatures you jinx to do the same.	Great Fortitude, Iron Will, or Lightning Reflexes; Halfling Jinx trait.	A jinxed target’s penalty on Fortitude, Reflex, or Will saves increases by 2 if you have the Great Fortitude, Lightning Reflexes, or Iron Will feat, respectively. If you have more than one of these feats, the additional penalties apply to all of the corresponding saves.					https://aonprd.com/FeatDisplay.aspx?ItemName=Bolster%20Jinx
Bolster Undead		Inner Sea Gods pg. 208	You can fortify undead against positive energy.	Channel energy 6d6, worshiper of Urgathoa.	Whenever you channel negative energy to heal undead creatures, you grant all undead you heal +1 channel resistance (or a +1 bonus to their existing channel resistance) for a number of rounds equal to your Charisma modifier (minimum 1 round).					https://aonprd.com/FeatDisplay.aspx?ItemName=Bolster%20Undead
Bolstered Resilience		Ultimate Combat pg. 90	You can dramatically increase your damage reduction in exchange for its temporary loss.	Damage reduction.	As an immediate action, you can double your DR against a single attack, to a maximum of DR 20. The type of the DR remains unchanged. If the attack you are guarding against is not successful, the increased damage reduction persists until you are hit with an attack or until the start of your next turn, whichever happens first. At the start of your next turn, you become fatigued. You cannot use this feat while you are fatigued.					https://aonprd.com/FeatDisplay.aspx?ItemName=Bolstered%20Resilience
Bonded Mind	Teamwork	Distant Shores pg. 63	You and your partner are so close that you can almost read each other’s minds.		As long as you can see each other, you and an ally who also has this feat can trade nonverbal messages. These function as the message spell, except that you don’t need to whisper or point, and you cannot be overheard.					https://aonprd.com/FeatDisplay.aspx?ItemName=Bonded%20Mind
Bookish Rogue		Advanced Class Guide pg. 143	Thanks to your preparation, your arcane ability is more varied than most.	Minor magic rogue talent.	By studying a spellbook for 10 minutes, you can change one spell you are able to cast using your minor magic or major magic rogue talent to one sorcerer/wizard spell of the same level contained in the spellbook. This change is permanent until you take the time to change it via this feat again.					https://aonprd.com/FeatDisplay.aspx?ItemName=Bookish%20Rogue
Boon Companion		Ultimate Wilderness pg. 217	Your bond with your animal companion or familiar is unusually close.	Animal companion class feature or familiar class feature.	The abilities of your animal companion or familiar are calculated as though your class were 4 levels higher, to a maximum effective druid level equal to your character level. If you have more than one animal companion or familiar, choose one to receive this benefit. If you dismiss or lose an animal companion or familiar that has received this benefit, you can apply this feat to the replacement creature.		You can select this feat more than once. The effects do not stack. Each time you take the feat, it applies to a different animal companion or familiar.			https://aonprd.com/FeatDisplay.aspx?ItemName=Boon%20Companion
Born Alone		Advanced Race Guide pg. 141	You are so tough and vicious that you killed and ate the rest of your litter while still in the womb.	Orc.	Whenever you kill or knock unconscious an opponent with a melee attack, you gain temporary hit points equal to your Constitution bonus (minimum 1) until your next turn. These temporary hit points do not stack. You do not gain this bonus if the opponent is helpless or has less than half your Hit Dice.					https://aonprd.com/FeatDisplay.aspx?ItemName=Born%20Alone
Born of Frost		Monster Codex pg. 68	You exude a chill that can harm other creatures.	Frost giant.	Your natural weapons and unarmed strikes deal an additional 1d6 points of cold damage. Creatures that strike you with natural weapons or unarmed strikes take 1 point of cold damage.					https://aonprd.com/FeatDisplay.aspx?ItemName=Born%20of%20Frost
Bouncing Spell-Like Ability	Monster	Horror Adventures pg. 83	You can retarget one of your spell-like abilities when it fails to affect its original target.	Spell-like ability at caster level 4th or higher.	Choose one of your spell-like abilities, subject to the restrictions described in this feat. You can use the chosen spell-like ability as a bouncing spell-like ability three times per day (or less, if the ability is normally usable only once or twice per day).<br>Whenever you use a bouncing spell-like ability against a single target and the ability has no effect on it (whether due to spell resistance or a successful saving throw), as a swift action, you can redirect the spell-like ability to target another eligible creature within range. The redirected spell-like ability behaves as if its new target were the original target for the spell-like ability. Spell-like abilities that affect a target in any way (including a lesser effect from a successful saving throw) can’t be redirected in this manner.<br>You can only select a spell-like ability duplicating a spell with a level less than or equal to 1/2 your caster level (round down) – 1. For a summary, see Table 3–1.		This feat can be taken multiple times. Each time it is taken, you can apply it to a different spell-like ability.			https://aonprd.com/FeatDisplay.aspx?ItemName=Bouncing%20Spell-Like%20Ability
Bouncing Spell	Metamagic	Advanced Player's Guide pg. 151	You can direct a failed spell against a different target.		Whenever a bouncing spell targeting a single creature has no effect on its intended target (whether due to spell resistance or a successful saving throw) you may, as a swift action, redirect it to target another eligible creature within range. The redirected spell behaves in all ways as if its new target were the original target for the spell. Spells that affect a target in any way (including a lesser effect from a successful saving throw) may not be redirected in this manner. A bouncing spell uses up a spell slot one level higher than the spell’s actual level.					https://aonprd.com/FeatDisplay.aspx?ItemName=Bouncing%20Spell
Bouncing Trick	Trick	Psychic Anthology pg. 16	Your mesmerist trick jumps to a new target after the trick is triggered.	Mesmerist trick class feature.	Whenever you implant a mesmerist trick in a target’s mind, you can spend any number of additional uses of your mesmerist trick ability to transform the trick into a bouncing trick. The maximum number of uses of the mesmerist trick ability that you can spend on a single bouncing trick is equal to your Charisma modifier.<br>After you trigger a bouncing trick, you can redirect the trick to one target within 30 feet as an immediate action. The redirected trick is immediately implanted in the new target’s mind, as if it were the original target. You can’t implant a bouncing trick in a target that has been previously implanted with that same bouncing trick. You can’t implant a creature with a bouncing trick in this manner if doing so would place it above the maximum number of mesmerist tricks that you can implant in a single target.<br>You can redirect the trick multiple times, up to the number of additional uses of the mesmerist trick ability that you spent on the bouncing trick. If you don’t use an immediate action to redirect a bouncing trick as soon as the trick is triggered, any remaining uses of the mesmerist trick ability that you invested in the bouncing trick are lost.					https://aonprd.com/FeatDisplay.aspx?ItemName=Bouncing%20Trick
Bounding Step		Heroes of the Wild pg. 22	You can leap through difficult terrain like a deer or elk.	Dex 15, Nimble Moves.	You gain a +2 bonus on Acrobatics checks to keep your balance and Reflex saves to avoid falling. Additionally, select one terrain type from the ranger list of favored terrains. Within that terrain, the maximum number of feet of difficult terrain you can move through as if it were normal terrain increases by 10 feet.	Nimble Moves allows you to move through 5 feet of difficult terrain each round as if it were normal terrain.	If you have the favored terrain class feature, you do not select a terrain with this feat. Instead, this feat’s increased movement through difficult terrain applies to all of your favored terrains.			https://aonprd.com/FeatDisplay.aspx?ItemName=Bounding%20Step
Bounteous Body		Wilderness Origins pg. 14	Your body produces magical fruits of greater power.	Character level 5th, grapevine or natural magic racial trait.	You can spend 1 hour in concentration to grow a number of fist-sized fruits equal to one-third your character level. Eating a fruit grants the benefits of a lesser restoration spell. Fruits lose their magical potency after 24 hours. This ability is usable once per week plus one additional time per week equal to your Constitution modifier (minimum 0).					https://aonprd.com/FeatDisplay.aspx?ItemName=Bounteous%20Body
Brackish Spell	Metamagic	Elemental Master's Handbook pg. 15	You can conjure a seawater orb to protect yourself.		This feat can be applied only to spells with the water descriptor. You can modify the spell to surround you with a thin sheath of brackish salt water in addition to the spell’s normal effect. You gain DR/piercing equal to the spell’s level for 1 round after you finish casting the spell. After this round, the water collapses into a briny puddle and the effect ends. A brackish spell does not use up a higher-level spell slot than the spell’s actual level.					https://aonprd.com/FeatDisplay.aspx?ItemName=Brackish%20Spell
Brain Eater		Classic Horrors Revisited pg. 32	You gain some of the skills and knowledge of a consumed foe by eating its brain.	Ghoul, Int 17.	If you eat a portion of the brain of a creature with Intelligence 3 or higher, you gain a +2 insight bonus on all skill checks and Will saving throws for 1 hour. Eating a brain is a full-round action, and the target must be dead or helpless. If the target is living, you may attempt to eat its brain as a coup de grace attack on the target, but you gain the insight bonus only if your attempt results in the victim’s death.					https://aonprd.com/FeatDisplay.aspx?ItemName=Brain%20Eater
Branded for Retribution		Ultimate Combat pg. 90	You brand an enemy with your bane weapon, making it more vulnerable to your allies’ attacks.	Bane class feature.	As a standard action, expend 3 rounds of your bane class feature and make a melee touch attack with the weapon affected by bane. If you hit, your target takes no damage but is branded until the start of your next turn. While this brand remains, your allies’ weapons are considered to have the bane ability with which your weapon is imbued when they attack the branded creature.					https://aonprd.com/FeatDisplay.aspx?ItemName=Branded%20for%20Retribution
Brash Stride		Pathfinder #132: The Six-Legend Soul pg. 72	You have studied the bold fighting style of Grand Prince Cyricas and emulate his intrepid tread through jungles and other dangerous lands.	Dex 15, Acrobatic Steps, Nimble Moves.	When you charge or run, you treat difficult terrain as normal terrain.					https://aonprd.com/FeatDisplay.aspx?ItemName=Brash%20Stride
Bravery in Action		Divine Anthology pg. 7	Sometimes the key to bravery is acting before you have time to be scared.	Bravery class feature, worshiper of Cayden Cailean.	You can add the bonus from bravery to your initiative checks.					https://aonprd.com/FeatDisplay.aspx?ItemName=Bravery%20in%20Action
Breach		Mystery Monsters Revisited pg. 6	Using its powerful tail to charge at an incredible speed, a bunyip can explode through the water’s surface and get the jump on terrestrial prey.	Str 15, bunyip.	While underwater, the bunyip can make a special charge attack against a creature on land. As long as the target is no farther away than half the bunyip’s swim speed (25 feet for most bunyips) from the body of water the bunyip is attacking from, the bunyip can break through the surface of the water and continue its charge as it soars through the air and toward the target of its attack. The bunyip can still only move up to twice its swim speed while making a breach attack. This attack otherwise follows all the normal rules for a charge attack.					https://aonprd.com/FeatDisplay.aspx?ItemName=Breach
Breadth of Experience		Advanced Player's Guide pg. 151	Although still young for your kind, you have a lifetime of knowledge and training.	Dwarf, elf, or gnome; 100+ years old.	You get a +2 bonus on all Knowledge and Profession skill checks, and can make checks with those skills untrained.					https://aonprd.com/FeatDisplay.aspx?ItemName=Breadth%20of%20Experience
Bred Commander		Monster Codex pg. 116	You possess a long pedigree of ruthless generals and military tacticians, and an army under your command is more difficult to rout as a result.	Hobgoblin.	When serving as a commander using the mass combat rules presented in Chapter 4 of Ultimate Campaign, you can add your class level to your army’s Morale checks in place of your Charisma modifier.					https://aonprd.com/FeatDisplay.aspx?ItemName=Bred%20Commander
