name	school	subschool	descriptors	level	casting_time	components	range	target	area	effect	duration	saving_throw	spell_resistance	description	mythic	source	url
Searing Light	evocation			cleric 3, inquisitor 3, oracle 3, warpriest 3	1 standard action	V, S	medium (100 ft. + 10 ft./level)			ray	instantaneous	none;	yes	Focusing divine power like a ray of the sun, you project a blast of light from your open palm. You must succeed on a ranged touch attack to strike your target. A creature struck by this ray of light takes 1d8 points of damage per two caster levels (maximum 5d8). An undead creature takes 1d6 points of damage per caster level (maximum 10d6), and an undead creature particularly vulnerable to bright light takes 1d8 points of damage per caster level (maximum 10d8). A construct or inanimate object takes only 1d6 points of damage per two caster levels (maximum 5d6).	Source Mythic Adventures pg. 107<br>The spell’s damage increases to 1d6 per caster level (maximum 10d6). The damage dealt to an undead creature increases to 1d8 points of damage per caster level (maximum 10d8), or 2d6 per caster level (maximum 20d6) if the undead is vulnerable to bright light. The damage dealt to constructs increases to 1d8 points of damage per 2 caster levels (maximum 5d8). If a creature struck has light sensitivity or light blindness, it takes the penalty from that weakness for 1 round after being struck by the light.	PRPG Core Rulebook pg. 338	https://aonprd.com/SpellDisplay.aspx?ItemName=Searing%20Light
Sending	evocation			alchemist 5, arcanist 5, cleric 4, inquisitor 4, investigator 5, medium 3, mesmerist 3, occultist 4, oracle 4, psychic 4, shaman 4, sorcerer 5, spiritualist 5, summoner 4, summoner (unchained) 5, warpriest 4, wizard 5	10 minutes	V, S, M/DF (fine copper wire)	see text	one creature			1 round; see text	none;	no	You contact a particular creature with which you are familiar and send a short message of 25 words or less to the subject. The subject recognizes you if it knows you. It can answer in like manner immediately. A creature with an Intelligence score as low as 1 can understand the sending, though the subject's ability to react is limited as normal by its Intelligence. Even if the sending is received, the subject is not obligated to act upon it in any manner.<br>If the creature in question is not on the same plane of existence as you are, there is a 5% chance that the sending does not arrive. (Local conditions on other planes may worsen this chance considerably.)	Source Mythic Adventures pg. 107<br>You can contact a number of additional creatures equal to your tier. Each creature must receive the same message, and can communicate back only to you.<br>Augmented (3rd): If you expend two uses of mythic power, you can send the message to unfamiliar creatures (using the same number of creatures as non-augmented mythic sending). You must either describe the intended recipients in general or specific terms (such as “orcs,” “the queen of this country,” or “left-handed half-elven males”) or specify restrictions such as range, creature type, and alignment (such as “all good-aligned humanoids in the castle on the hill”). If a greater number of creatures meet your description than the maximum number you can send to, the closest ones to you receive the message. Word of Beckoning<br>Source Pathfinder #131: The Reaper's Right Hand pg. 72<br>School conjuration (teleportation); Level arcanist 7, psychic 7, sorcerer 7, wizard 7Casting<br>Casting Time 10 minutes<br>Components V, S, M/DF (fine copper wire)Effect<br>Range see text<br>Target one creature<br>Duration 1 round; see text<br>Saving Throw none; Spell Resistance noDescription<br>This spell functions like sending, except the subject also receives knowledge of a command word that, when spoken, summons you to the open space nearest to the subject. The subject must speak the command word within 1 round of knowing it to summon you, although the subject isn’t obligated to speak it. You can be transported any distance within a plane but cannot travel between planes. You can bring along objects as long as their weight doesn’t exceed your maximum load. You may also bring one additional willing Medium or smaller creature (carrying gear or objects up to its maximum load) or its equivalent per three caster levels. A Large creature counts as two Medium creatures, a Huge creature counts as four Medium creatures, and so forth. All creatures to be transported must be in contact with one another, and at least one of those creatures must be in contact with you.	PRPG Core Rulebook pg. 339	https://aonprd.com/SpellDisplay.aspx?ItemName=Sending
Shadow Anchor	illusion	shadow	shadow	arcanist 2, bard 2, mesmerist 2, psychic 2, redmantisassassin 2, skald 2, sorcerer 2, witch 2, wizard 2 (wayang)	1 standard action	S	touch	creature touched		a shadowy shadow tether	1 round/level (D); see text	Will negates;	yes	The target’s shadow becomes a flexible tether to its current square. The creature can move up to 5 feet from that square without penalty. Moving farther than 5 feet from the tether point requires the target to make a bull rush combat maneuver check against a CMB of 10 + 1/2 your caster level + your Intelligence modifier (if a witch or wizard) or Charisma modifier (if a bard or sorcerer). The target takes a –1 penalty for every 5 feet of distance between it and its tethered square. Failing this check means the target’s move is wasted and it cannot move farther away. If it fails this check by 10 or more, it is pulled 5 feet toward the tether square and is knocked prone. If it beats the check by 10 or more, the spell ends. This spell does not work on creatures that do not cast shadows or reflections. If the target uses a teleportation effect or leaves the current plane, the spell ends.	Source Mythic Adventures pg. 107<br>Add your tier to the CMD of the shadow tether. A creature attempting to escape the shadow tether using planar travel or teleportation must succeed at a Will saving throw or be shunted to the Plane of Shadow instead of its intended destination, as if it had cast shadow walk (if the target could not reach the Shadow Plane from its current location using shadow walk, this aspect of the spell has no effect).	Advanced Race Guide pg. 211	https://aonprd.com/SpellDisplay.aspx?ItemName=Shadow%20Anchor
Shadow Weapon	illusion	shadow	shadow	arcanist 1, bloodrager 1, occultist 1, psychic 1, redmantisassassin 1, sorcerer 1, witch 1, wizard 1	1 standard action	V, S	0 ft.			one shadow weapon	1 minute/level	Will disbelief (if interacted with);	yes	Drawing upon the Plane of Shadow, you shape a quasi-real masterwork melee weapon of a type you are proficient with. You may use this weapon to make attacks as if it were a real weapon, dealing normal damage for a weapon of its type. The first time you hit a creature with the weapon, it may make a Will save to disbelieve; failure means the weapon deals damage normally, success means it only takes 1 point of damage from the weapon’s attacks. The weapon only deals 1 point of damage to objects.<br>If an attacked creature has spell resistance, you make a caster level check (1d20 + caster level) against that spell resistance the first time the shadow weapon strikes it. If the weapon is successfully resisted, the spell is dispelled. If not, the target may save to disbelieve as normal.<br>At 5th level, the weapon gains a +1 enhancement bonus. At 10th-level, you may increase the enhancement bonus to +2 or add the frost or keen weapon property. The frost and keen properties have no effect if the target makes its disbelief save.<br>The spell ends if the weapon leaves your possession.	Source Mythic Adventures pg. 107<br>Add your tier to your caster level when determining what enhancement bonus or weapon special abilities the weapon can have. The weapon deals half damage to creatures that disbelieve in it and to objects, instead of only 1 point.<br>You can spend a swift action to transform the weapon into a dull black metal ring on your finger, or to return it from its ring form to its weapon form in your hand.	Ultimate Magic pg. 237	https://aonprd.com/SpellDisplay.aspx?ItemName=Shadow%20Weapon
Shatter	evocation		sonic	arcanist 2, bard 2, bloodrager 2, cleric 2, magus 2, occultist 2, oracle 2, psychic 2, skald 2, sorcerer 2, warpriest 2, wizard 2	1 standard action	V, S, M/DF (a chip of mica)	close (25 ft. + 5 ft./2 levels)				instantaneous	Will negates (object); Will negates (object) or Fortitude half; see text;	yes	Shatter creates a loud, ringing noise that breaks brittle, nonmagical objects; sunders a single solid, nonmagical object; or damages a crystalline creature.<br>Used as an area attack, shatter destroys nonmagical objects of crystal, glass, ceramic, or porcelain. All such unattended objects within a 5-foot radius of the point of origin are smashed into dozens of pieces by the spell. Objects weighing more than 1 pound per your level are not affected, but all other objects of the appropriate composition are shattered.<br>Alternatively, you can target shatter against a single solid nonmagical object, regardless of composition, weighing up to 10 pounds per caster level. Targeted against a crystalline creature (of any weight), shatter deals 1d6 points of sonic damage per caster level (maximum 10d6), with a Fortitude save for half damage.	Source Mythic Adventures pg. 107<br>Add your tier to your caster level when determining the maximum object weight you can affect. When targeting a crystalline creature, the spell’s damage increases to 1d8 points of sonic damage per caster level (maximum 10d8). You may damage a single magical object as if it were a crystalline creature. If the spell destroys an object or damages a crystalline creature, broken shards litter the spell area or creature’s space and act as caltrops.	PRPG Core Rulebook pg. 341	https://aonprd.com/SpellDisplay.aspx?ItemName=Shatter
Shield Other	abjuration			cleric 2, inquisitor 2, oracle 2, paladin 2, psychic 2, warpriest 2	1 standard action	V, S, F (a pair of platinum rings worth 50 gp worn by both you and the target)	close (25 ft. + 5 ft./2 levels)	one creature			1 hour/level (D)	Will negates (harmless);	yes (harmless)	This spell wards the subject and creates a mystic connection between you and the subject so that some of its wounds are transferred to you. The subject gains a +1 deflection bonus to AC and a +1 resistance bonus on saves. Additionally, the subject takes only half damage from all wounds and attacks (including those dealt by special abilities) that deal hit point damage. The amount of damage not taken by the warded creature is taken by you. Forms of harm that do not involve hit points, such as charm effects, temporary ability damage, level draining, and death effects, are not affected. If the subject suffers a reduction of hit points from a lowered Constitution score, the reduction is not split with you because it is not hit point damage. When the spell ends, subsequent damage is no longer divided between the subject and you, but damage already split is not reassigned to the subject.<br>If you and the subject of the spell move out of range of each other, the spell ends.	Source Mythic Adventures pg. 108<br>Increase the range to long (400 feet + 40 feet per caster level). Subtract your tier from any damage transmitted to you through the mystical connection before applying the damage (minimum 1 hp of damage). When you use your surge ability to modify a saving throw against an effect that also affects your linked ally, the ally also applies your surge bonus die result to the ally’s saving throw. If the ally also uses its own surge ability, it takes either your result or its result, whichever is higher. Shield Companion (AA)<br>Source Animal Archive pg. 25<br>School abjuration; Level antipaladin 1, arcanist 1, druid 1, hunter 1, paladin 1, ranger 1, sorcerer 1, witch 1, wizard 1Casting<br>Casting Time 1 standard action<br>Components V, S, F (a pair of platinum rings worth 50 gp worn by both you and the target)Effect<br>Range close (25 ft. + 5 ft./2 levels)<br>Target your animal companion, familiar, or fiendish servant<br>Duration 1 hour/level (D)<br>Saving Throw Will negates (harmless); Spell Resistance yes (harmless)Description<br>This spell functions as shield other but affects only the caster’s animal companion or familiar. Spellcasters from classes that do not normally gain an animal companion, familiar, or fiendish servant but who gain one through an alternate class feature, archetype, or prestige class can prepare and cast this spell as a 1st-level spell if they are capable of casting spells.Sympathetic Wounds<br>Source Gods and Magic pg. 43<br>School abjuration [evil]; Level cleric 2, druid 2, hunter 2, oracle 2, warpriest 2 (Zon-Kuthon)Casting<br>Casting Time 1 standard action<br>Components V, S, M (250 gp of powdered amber)Effect<br>Range close (25 ft. + 5 ft./2 levels)<br>Target one creature<br>Duration 1 hour/level (D)<br>Saving Throw Will negates; Spell Resistance yesDescription<br>This spell functions like shield other, except some of your wounds transfer to the targeted creature rather than some of their wounds transferring to you. For example, you could link yourself to a nearby chained slave so that when you are wounded, some of the damage is transferred to the slave. You must have at least as many hit dice as the target, otherwise the spell fails. A creature can only be under the effects of one instance of this spell at a time.	PRPG Core Rulebook pg. 342	https://aonprd.com/SpellDisplay.aspx?ItemName=Shield%20Other
Shield of Faith	abjuration			cleric 1, inquisitor 1, oracle 1, warpriest 1	1 standard action	V, S, M (parchment with a holy text written on it)	touch	creature touched			1 min./level	Will negates (harmless);	yes (harmless)	This spell creates a shimmering, magical field around the target that averts and deflects attacks. The spell grants the subject a +2 deflection bonus to AC, with an additional +1 to the bonus for every six levels you have (maximum +5 deflection bonus at 18th level).	Source Mythic Adventures pg. 108<br>Add half your tier to the spell’s deflection bonus.	PRPG Core Rulebook pg. 342	https://aonprd.com/SpellDisplay.aspx?ItemName=Shield%20of%20Faith
Shield of the Dawnflower	evocation		fire, good, light	bard 4, cleric 4, hunter 4, magus 4, oracle 4, paladin 4, ranger 4, skald 4, warpriest 4 (Sarenrae)	1 standard action	V, S, DF	personal	you			1 round/level	see text;	no	You create a disk of sunlight on one arm. Any creature that strikes you with a melee attack deals normal damage, but also takes 1d6 points of fire damage + 1 point per caster level (maximum +15). Creatures with reach weapons are not subject to this damage if they attack you. The shield provides illumination as if it were a continual flame spell. You can only have one instance of this spell in effect at a time. It does not stack with similar damaging aura spells such as fire shield.	Source Mythic Origins pg. 13<br>The disk of sunlight protects you as a buckler with a +1 enhancement bonus per 4 caster levels (maximum +5).<br>You can make a melee touch attack with your shield of the Dawnflower in place of a normal attack to deal its fire damage to a creature. Creatures taking damage from your shield catch on fire (Reflex negates); the save DC to extinguish the fire is equal to the DC of the spell. Shield of the Dawnflower, Greater<br>Source Inner Sea Gods pg. 240<br>School evocation [fire, good, light]; Level bard 6, cleric 6, magus 6, oracle 6, skald 6, warpriest 6 (Sarenrae)Casting<br>Casting Time 1 standard action<br>Components V, S, DFEffect<br>Range personal<br>Target you<br>Duration 1 round/levelDescription<br>You create a disk of sunlight on one arm. Any creature that strikes you with a melee attack deals normal damage, but also takes 1d6 points of damage + 1 point per caster level. Half of this damage is fire damage and half is holy damage (as the spell flame strike). An undead creature or a creature particularly vulnerable to light that hits you instead takes 2d6 points of damage +1 point per caster level. Creatures with reach weapons are not subject to this damage if they attack you. The shield provides illumination equivalent to a daylight spell. You can have only one instance of this spell in effect at a time. It does not stack with similar damaging aura spells such as fire shield or shield of the Dawnflower (The Inner Sea World Guide 296).	Inner Sea World Guide pg. 296	https://aonprd.com/SpellDisplay.aspx?ItemName=Shield%20of%20the%20Dawnflower
Shocking Grasp	evocation		electricity	arcanist 1, bloodrager 1, magus 1, occultist 1, sorcerer 1, wizard 1	1 standard action	V, S	touch	creature or object touched			instantaneous	none;	yes	Your successful melee touch attack deals 1d6 points of electricity damage per caster level (maximum 5d6). When delivering the jolt, you gain a +3 bonus on attack rolls if the opponent is wearing metal armor (or is carrying a metal weapon or is made of metal).	Source Mythic Adventures pg. 108<br>The spell’s damage increases to 1d8 points of electricity damage per caster level (maximum 5d8). If the target is wearing metal armor or is made of metal, you may attempt a free grapple combat maneuver against the target.<br>Alternatively, if the target is carrying a metal weapon, you may attempt a free disarm combat maneuver against that weapon. This free combat maneuver doesn’t provoke attacks of opportunity.<br>Augmented: If you expend two uses of mythic power and the free grapple or disarm combat maneuver is successful, the target is staggered until your next turn. This is an electricity effect.	PRPG Core Rulebook pg. 343	https://aonprd.com/SpellDisplay.aspx?ItemName=Shocking%20Grasp
Shout	evocation		sonic	arcanist 4, bard 4, bloodrager 4, magus 4, occultist 4, psychic 4, skald 4, sorcerer 4, wizard 4	1 standard action	V	30 ft.		cone-shaped burst		instantaneous	Fortitude partial or Reflex negates (object); see text;	yes (object)	You emit an ear-splitting yell that deafens and damages creatures in its path. Any creature within the area is deafened for 2d6 rounds and takes 5d6 points of sonic damage. A successful save negates the deafness and reduces the damage by half. Any exposed brittle or crystalline object or crystalline creature takes 1d6 points of sonic damage per caster level (maximum 15d6). An affected creature is allowed a Fortitude save to reduce the damage by half, and a creature holding fragile objects can negate damage to them with a successful Reflex save. A shout spell cannot penetrate a silence spell.	Source Mythic Adventures pg. 108<br>The duration that creatures in the area are deafened increases to 4d6 rounds, and the damage dealt increases to 5d8 points of sonic damage. The damage dealt to crystalline creatures and exposed brittle or crystalline objects increases to 1d8 points of sonic damage per caster level (maximum 15d8). Crystalline creatures reverberate with sonic energy, taking 4 points of sonic damage on your turn for a number of rounds equal to your tier. Shout, Greater<br>Source PRPG Core Rulebook pg. 343<br>School evocation [sonic]; Level arcanist 8, bard 6, psychic 8, skald 6, sorcerer 8, wizard 8Casting<br>Casting Time 1 standard action<br>Components V, S, F (a metal or ivory horn)Effect<br>Range 60 ft.<br>Area cone-shaped burst<br>Duration instantaneous<br>Saving Throw Fortitude partial or Reflex negates (object); see text; Spell Resistance yes (object)Description<br>This spell functions like shout, except that the cone deals 10d6 points of sonic damage (or 1d6 points of sonic damage per caster level, maximum 20d6, against exposed brittle or crystalline objects or crystalline creatures). It also causes creatures to be stunned for 1 round and deafened for 4d6 rounds. A creature in the area of the cone can negate the stunning and halve both the damage and the duration of the deafness with a successful Fortitude save. A creature holding vulnerable objects can attempt a Reflex save to negate the damage to those objects.	PRPG Core Rulebook pg. 343	https://aonprd.com/SpellDisplay.aspx?ItemName=Shout
Silence	illusion	glamer		antipaladin 2, bard 2, cleric 2, inquisitor 2, mesmerist 2, oracle 2, psychic 2, skald 2, warpriest 2	1 round	V, S	long (400 ft. + 40 ft./level)		20-ft.-radius emanation centered on a creature, object, or point in space		1 round/level (D)	Will negates; see text or none (object);	yes; see text or no (object)	Upon the casting of this spell, complete silence prevails in the affected area. All sound is stopped: Conversation is impossible, spells with verbal components cannot be cast, and no noise whatsoever issues from, enters, or passes through the area. The spell can be cast on a point in space, but the effect is stationary unless cast on a mobile object. The spell can be centered on a creature, and the effect then radiates from the creature and moves as it moves. An unwilling creature can attempt a Will save to negate the spell and can use spell resistance, if any. Items in a creature's possession or magic items that emit sound receive the benefits of saves and spell resistance, but unattended objects and points in space do not. Creatures in an area of a silence spell are immune to sonic or language-based attacks, spells, and effects.	Source Mythic Adventures pg. 108<br>This spell also applies to telepathy, cutting off any mental communication within the area. At the time of casting, you can choose to be immune to your own mythic silence effect and can designate up to one creature per tier to also gain this immunity. Creatures immune to the mythic silence are subject to sonic effects as normal.	PRPG Core Rulebook pg. 343	https://aonprd.com/SpellDisplay.aspx?ItemName=Silence
Silent Image	illusion	figment		arcanist 1, bard 1, magus 1, medium 1, mesmerist 1, occultist 1, psychic 1, redmantisassassin 1, skald 1, sorcerer 1, wizard 1	1 standard action	V, S, F (a bit of fleece)	long (400 ft. + 40 ft./level)			visual figment that cannot extend beyond four 10-ft. cubes + one 10-ft. cube/level (S)	concentration	Will disbelief (if interacted with);	no	This spell creates the visual illusion of an object, creature, or force, as visualized by you. The illusion does not create sound, smell, texture, or temperature. You can move the image within the limits of the size of the effect.	Source Mythic Adventures pg. 108<br>The duration increases to concentration + 1 round per caster level, and the effect increases to a visual figment that can’t extend beyond eight 10-foot cubes + 1 10-foot cube per caster level.<br>Augmented (6th): If you expend two uses of mythic power, the duration changes to concentration + 1 minute per caster level and the effect changes to a visual figment no larger than a 50-foot emanation. An augmented mythic silent image can’t move.	PRPG Core Rulebook pg. 343	https://aonprd.com/SpellDisplay.aspx?ItemName=Silent%20Image
Sleep	enchantment	compulsion	mind-affecting	adept 1, arcanist 1, bard 1, mesmerist 1, occultist 1, psychic 1, sahirafiyun 1, shaman 1, skald 1, sorcerer 1, witch 1, wizard 1	1 round	V, S, M (fine sand, rose petals, or a live cricket)	medium (100 ft. + 10 ft./level)		one or more living creatures within a 10-ft.-radius burst		1 min./level	Will negates;	yes	A sleep spell causes a magical slumber to come upon 4 HD of creatures. Creatures with the fewest HD are affected first. Among creatures with equal HD, those who are closest to the spell's point of origin are affected first. HD that are not sufficient to affect a creature are wasted. Sleeping creatures are helpless. Slapping or wounding awakens an affected creature, but normal noise does not. Awakening a creature is a standard action (an application of the aid another action). Sleep does not target unconscious creatures, constructs, or undead creatures.	Source Mythic Adventures pg. 108<br>The spell affects up to 8 Hit Dice of creatures, and you can choose the order in which creatures are affected by the spell. Any effect that would automatically awaken a sleeping creature instead allows it to attempt a new Will saving throw to awaken.<br>Augmented (8th): If you expend three uses of mythic power, you can target all living creatures other than you that have 8 Hit Dice or fewer in a 1-mile radius centered on you. Creatures that fail their saving throws fall asleep for a number of days equal to your tier. You can select a number of creatures up to your tier to not be affected by the spell.	PRPG Core Rulebook pg. 344	https://aonprd.com/SpellDisplay.aspx?ItemName=Sleep
Slow	transmutation			arcanist 3, bard 3, bloodrager 3, magus 3, medium 2, occultist 3, psychic 3, redmantisassassin 3, skald 3, sorcerer 3, spiritualist 3, summoner 2, summoner (unchained) 3, wizard 3	1 standard action	V, S, M (a drop of molasses)	close (25 ft. + 5 ft./2 levels)	one creature/level, no two of which can be more than 30 ft. apart			1 round/level	Will negates;	yes	An affected creature moves and attacks at a drastically slowed rate. Creatures affected by this spell are staggered and can take only a single move action or standard action each turn, but not both (nor may it take full-round actions). Additionally, it takes a –1 penalty on attack rolls, AC, and Reflex saves. A slowed creature moves at half its normal speed (round down to the next 5-foot increment), which affects the creature's jumping distance as normal for decreased speed.<br>Multiple slow effects don't stack. Slow counters and dispels haste.	Source Mythic Adventures pg. 109<br>The penalty on attack rolls, on Reflex saves, and to AC increases to –2, and affected creatures move at one-fourth speed. Select one affected creature; this creature is denied its Dexterity bonus to AC.	PRPG Core Rulebook pg. 344	https://aonprd.com/SpellDisplay.aspx?ItemName=Slow
Solid Fog	conjuration	creation		arcanist 4, magus 4, mesmerist 4, shaman 4, sorcerer 4, spiritualist 4, summoner (unchained) 4, witch 4, wizard 4	1 standard action	V, S, M (powdered peas and an animal hoof)	medium (100 ft. + 10 ft./level)			fog spreads in 20-ft. radius	1 min./level	none;	no	This spell functions like fog cloud, but in addition to obscuring sight, the solid fog is so thick that it impedes movement. Creatures moving through a solid fog move at half their normal speed and take a –2 penalty on all melee attack and melee damage rolls. The vapors prevent effective ranged weapon attacks (except for magic rays and the like). A creature or object that falls into solid fog is slowed so that each 10 feet of vapor that it passes through reduces the falling damage by 1d6. A creature cannot take a 5-foot-step while in solid fog. Solid fog, and effects that work like solid fog, do not stack with each other in terms of slowed movement and attack penalties.<br>Unlike normal fog, only a severe wind (31+ mph) disperses these vapors, and it does so in 1 round.<br>Solid fog can be made permanent with a permanency spell. A permanent solid fog dispersed by wind reforms in 10 minutes.	Source Mythic Adventures pg. 109<br>The penalty on melee attack and damage rolls increases to –4. The cloud’s radius and height both increase to 50 feet.<br>Augmented: The augmented version of mythic solid fog has the same additional benefits as the augmented version of mythic fog cloud.	PRPG Core Rulebook pg. 345	https://aonprd.com/SpellDisplay.aspx?ItemName=Solid%20Fog
Soulreaver	necromancy		death	arcanist 8, cleric 8, oracle 8, sorcerer 8, witch 8, wizard 8	1 standard action	V, S	close (25 ft. + 5 ft./2 levels)	living creatures in a 20-ft.-radius spread			instantaneous	Fortitude half;	yes	Favored by the necromancer Geb as a tool to turn his enemies’ armies against themselves, this potent death spell deals 1d6 points of damage per caster level (maximum 20d6) to living creatures in the area of effect.	Source Mythic Origins pg. 15<br>You can expend one use of mythic power to raise creatures killed by this effect as undead thralls. You can animate a number of Hit Dice worth of undead up to double your tier as if you had animated them with animate dead. The undead created by this spell count toward the total number of Hit Dice worth of undead you can control.<br>Augmented (8th): If you expend two uses of mythic power, you can raise slain foes as undead creatures chosen from the list of undead for create undead. By expending three uses of mythic power, you can select from the list for create greater undead. The total number of Hit Dice worth of undead created in this way can’t exceed double your tier. Created undead are not automatically under your control. If you are capable of commanding undead, you may attempt to command the undead creatures as they form.	Mythic Origins pg. 15	https://aonprd.com/SpellDisplay.aspx?ItemName=Soulreaver
Spawn Calling	conjuration	calling	chaotic, evil	arcanist 9, cleric 9, oracle 9, sorcerer 9, witch 9, wizard 9 (Rovagug)	1 week	V, S, M/DF (bull’s blood, tallow, one or more humanoid victims totaling at least 15 Hit Dice)	medium (100 ft. + 10 ft./level)			one Spawn of Rovagug	instantaneous	none;	no	Having attained the highest and most profane form of magical achievement in the Great Destroyer’s service, you are able to call forth his most dreaded creations: the Spawn of Rovagug. Casting this spell requires a week-long ritual involving the sacrifice of one or more sentient humanoid creatures that between them possess a total of at least 15 Hit Dice. You may not eat, sleep, or cast any other spells for the duration of this ritual. After the third day of the ritual, you must succeed at a Constitution check on each remaining day of the ritual (DC 10 + 1 for each previous check) or take 1d6 points of nonlethal damage from hunger. At the end of the ritual, you gain the exhausted condition from lack of sleep.<br>Upon completion of the ritual, the ground rumbles in a 100- foot radius centered on you. This effect lasts for 1 round. Any creature on the ground in this area that attempts to cast a spell during this round must succeed at a concentration check (DC 20 + spell level) or lose the spell. Any creature on the ground in the area that attempts to attack or move during this round must succeed at a DC 15 Reflex save at the beginning of its turn or fall prone.<br>At the beginning of your next turn, a massive fissure full of dark fire and shrieking cries appears at a point you designate within the spell’s range, and a Spawn of Rovagug emerges. This creature takes the form of a thunder behemoth (Pathfinder RPG Bestiary 3 39) with the advanced and entropic simple templates. Unlike with summon monster or similar spells, the caster has no control whatsoever over the called creature. The spawn immediately heads in a random direction or toward an obvious target such as a population center, destroying anything in its path, yourself and your allies included.<br>Any creature may attempt to control the called Spawn of Rovagug via spells like dominate monster or binding. However, if such an attempt fails, it draws the spawn’s attention, and the monster immediately tries to destroy the creature that attempted to control it. Because the Spawn of Rovagug are all magical beasts native to the Material Plane, spells such as banishment or dismissal have no effect on the called spawn.	Source Inner Sea Gods pg. 242<br>When casting this spell, you can specify a particular Spawn of Rovagug— including the Tarrasque, the Armageddon Engine (Pathfinder RPG Bestiary 262); Chemnosit, the Monarch Worm (Pathfinder Campaign Setting: Inner Sea Bestiary 47); or Volnagur, the End-Singer (Inner Sea Bestiary 48)—to call in place of the nameless behemoth spawned by the non-mythic version of this spell. In order to do so, you must expend one use of mythic power plus three additional uses of mythic power per point of Challenge Rating the specified spawn represents above CR 20. These must be expended on the final day of the weeklong ritual to cast the spell.	Inner Sea Gods pg. 241	https://aonprd.com/SpellDisplay.aspx?ItemName=Spawn%20Calling
Spider Climb	transmutation			alchemist 2, arcanist 2, bloodrager 2, druid 2, hunter 2, investigator 2, magus 2, medium 2, occultist 2, psychic 2, redmantisassassin 2, sorcerer 2, summoner 2, summoner (unchained) 2, wizard 2	1 standard action	V, S, M (a live spider)	touch	creature touched			10 min./level	Will negates (harmless);	yes (harmless)	The subject can climb and travel on vertical surfaces or even traverse ceilings as well as a spider does. The affected creature must have its hands free to climb in this manner. The subject gains a climb speed of 20 feet and a +8 racial bonus on Climb skill checks; furthermore, it need not make Climb checks to traverse a vertical or horizontal surface (even upside down). A spider climbing creature retains its Dexterity bonus to Armor Class (if any) while climbing, and opponents get no special bonus to their attacks against it. It cannot, however, use the run action while climbing.	Source Mythic Adventures pg. 109<br>The target gains a climb speed equal to its base land speed or 30 feet, whichever is higher. The target can take the run action while climbing and needs only one hand free to climb.<br>The target can move freely across spider webs (including giant spider webs), web spells, and similar adhesives of 2nd level or less (including tanglefoot bags) as if it were using freedom of movement. Spider Climb, Communal<br>Source Ultimate Combat pg. 245<br>School transmutation; Level alchemist 3, arcanist 3, druid 3, hunter 3, investigator 3, occultist 3, psychic 3, redmantisassassin 3, sorcerer 3, summoner 3, summoner (unchained) 3, wizard 3Casting<br>Casting Time 1 standard action<br>Components V, S, M (a live spider)Effect<br>Range touch<br>Target creature touched<br>Duration 10 min./level<br>Saving Throw Will negates (harmless); Spell Resistance yes (harmless)Description<br>This spell functions like spider climb, except you divide the duration in 10-minute intervals among the creatures touched.	PRPG Core Rulebook pg. 347	https://aonprd.com/SpellDisplay.aspx?ItemName=Spider%20Climb
Spike Stones	transmutation		earth	druid 4, hunter 4, shaman 4	1 standard action	V, S, DF	medium (100 ft. + 10 ft./level)		one 20-ft. square/level		1 hour/level (D)	Reflex partial;	yes	Rocky ground, stone floors, and similar surfaces shape themselves into long, sharp points that blend into the background.<br>Spike stones impede progress through an area and deal damage. Any creature moving on foot into or through the spell's area moves at half speed. In addition, each creature moving through the area takes 1d8 points of piercing damage for each 5 feet of movement through the spiked area.<br>Any creature that takes damage from this spell must also succeed on a Reflex save to avoid injuries to its feet and legs. A failed save causes the creature's speed to be reduced to half normal for 24 hours or until the injured creature receives a cure spell (which also restores lost hit points). Another character can remove the penalty by taking 10 minutes to dress the injuries and succeeding on a Heal check against the spell's save DC.<br>Magic traps such as spike stones are hard to detect. A rogue (only) can use the Perception skill to find spike stones. The DC is 25 + spell level, or DC 29 for spike stones. Spike stones is a magic trap that can't be disabled with the Disable Device skill.	Source Mythic Adventures pg. 109<br>The damage dealt increases to 2d6 points of piercing damage plus 1 point of bleed damage. Add your tier to the DC to detect the magical trap.	PRPG Core Rulebook pg. 348	https://aonprd.com/SpellDisplay.aspx?ItemName=Spike%20Stones
