name	discipline	descriptors	display	manifesting_time	range	target_area_effect	duration	saving_throw	power_resistance	power_points	description	augment	special	mythic	source	url
Harmonize	Psychometabolism (Healing)	None				Target: 1 crystalline creature of Large size or smaller, one object of Medium size or smaller, or one 5 foot square of terrain		None	No	3	This power functions as lesser harmonize, except as noted above. The effect for targeting a crystalline creature changes in the following way and you also gain access to the additional following choice for your possible effects of the power:<br><br>• Crystalline Based Creatures These creatures heal 2d8 hit points.<br><br>• Terrain The outer layer and proceeding five inches of underlayer of a surface is transformed into harmcrys.	Augment The augment effect for targeting crystalline creatures changes in the following ways:<br><br>• For every additional 2 power points you spend, raise the healing effect by 1d8 points.<br><br>• For every additional 4 power points you spend, increase the range of terrain harmonized into harmcrys by 5 additional feet around the original target square.			Species Archive, Pathfinder Compatible: The Kulvix, pg. 45	https://metzo.miraheze.org/wiki/Harmonize
Hauntvision	Athanatism	None	Material	1 standard action	60 ft.	Area: Cone-shaped emanation centered on you.	Concentration, up to 1 min./level (D)	None	No	1	Your body becomes coated in a sheen of frost as your core temperature drops, hinting at the spiritual sight you have gained. While under the effect of hauntvision, you can detect, identify, and eventually understand haunts nearby. The amount of information revealed by the manifestation of this power depends on how long you study a particular area or subject.<br><br>Detection of a haunt may trigger it to manifest, depending on the conditions and nature of the individual haunt.<br><br>• 1st Round: Presence or absence of haunts.<br><br>• 2nd Round: Number of different haunts and the strength of the most potent haunt. For purposes of determining a haunt’s strength, those with CR 1-3 are considered weak, CR 4-6 moderate, CR 7-9 strong, CR 10- 12 potent, CR 13-15 imposing, and CR 16+ deadly.<br><br>• 3rd Round: The strength and location of each haunt. If the haunts are within line of sight, you can make Knowledge (religion) checks to attempt identification.			Mythic Hauntvision<br><br>You may add your mythic tier to Knowledge (religion) rolls made to identify haunts.	Psionics Augmented: Powers, pg. 11<br>Psionics Augmented: Compilation II, pg. 74	https://metzo.miraheze.org/wiki/Hauntvision
Heal Injuries	Psychometabolism (Healing)	None	Material, visual	1 standard action	Touch	Target: Living creature touched	Instantaneous	Fort negates (harmless)	Yes	11	You psionically augment the healing ability of the targets with your power. The targets heal 110 points of damage total, divided among the targets at your discretion.	Augment: You can augment this power in one or both of the following ways.<br><br>• For every additional power point you spend, the total amount healed increases by 10 points of damage.<br><br>• If you spend 6 additional power points, you can heal all living creatures within 20 feet of you.			Psionics Expanded: Mind Over Body, pgs. 16–16<br>Psionics Expanded, pg. 166<br>Ultimate Psionics, pg. 210	https://metzo.miraheze.org/wiki/Heal_Injuries
Healing Stasis	Metacreativity (Creation)	None	Material, mental	1 standard action	Touch	Target: 1 creature of Medium size or smaller	Up to 1 round/2 levels	None	No	9	You create a thin crystal around the target, which heals it for 2d6 points per round. The target must remain voluntarily helpless to continue to receive the healing. If the target ceases to be helpless, either by choice or compulsion, or attempts to move in any way, the crystal is shattered and disappears instantly. While within the crystal, the target is immune to being targeted, attacked, and immune to any damage in the area. The crystal can be damaged and has 100 hit points and 10 hardness. If reduced to zero hit points the crystal shatters.	Augment You can augment this power in one or more of the following ways:<br><br>• For every additional 3 power points you spend, you can raise the maximum size of the target by one size category.<br><br>• For every additional 4 power points you spend, raise the healing effect by 1d6 points per turn.			Species Archive, Pathfinder Compatible: The Kulvix, pg. 45	https://metzo.miraheze.org/wiki/Healing_Stasis
Heartbinding	Athanatism	None	Mental	1 minute	Close (25 ft. + 5 ft./2 levels)	Target: One living creature	1 hour/level (D)	Will negates (harmless)	Yes (harmless)	3 (conduit, vitalist), 5 (tactician)	By binding the soul of another to yourself, you form a protective bond. The subject gains a +1 deflection bonus to AC and a +1 resistance bonus on saves. While this power is active, you or the target may choose to gain any morale bonuses granted to the other, just as if you were both targeted. In addition, if you or the target are subjected to an emotion effect that allows a saving throw, one of you may attempt the saving throw, applying the result to both of you. You must decide to use this effect before the save is made.	Augment: By spending an additional 6 power points, you may, as a standard action, end this power to heal the target 3d8 points of damage + 1 point per manifester level (maximum +25). This healing can return a recently dead target to life, as long as its hit points after the healing are at least equal to the hit points at which it would die. If you return a recently dead target to life this way, you suffer damage equal to the amount healed. You must touch the target to trigger this effect, and no more than one round may have passed since their death. This power gains the healing subtype.			Psionics Augmented: Seventh Path, pgs. 32–33	https://metzo.miraheze.org/wiki/Heartbinding
Heightened Vision	Clairsentience	None	Visual	1 standard action	Personal	Target: You	1 hour/level	None	No	Cryptic 3, gifted blade 3, marksman 5, psion/wilder 5, psychic warrior 3, sighted seeker 3	You increase your visual acuity, gaining the ability to see 60 feet even in total darkness. Your increased vision is black and white only but otherwise like normal sight.			Mythic Heightened Vision<br><br>The range of the darkvision is increased to 120 feet, and this range stacks with any existing darkvision you possess. In addition, you can see through up to 10 feet plus 5 feet per mythic tier of magical darkness.<br><br>Augmented (3rd): If you expend two uses of mythic power, the range of the target's mythic heightened vision becomes equal to the target's line of sight.	Psionics Unleashed, pg. 118<br>Ultimate Psionics, pg. 210<br>Psionics Augmented: Mythic Psionics, pg. 44	https://metzo.miraheze.org/wiki/Heightened_Vision
Helping Column	Metacreativity	None	Material	1 immediate action	Medium (100 ft. + 10 ft./level) ; see text	Target: A falling creature	Instantaneous	None	No	3	You create a large column of crystal that grows up to 60 ft. and collapses immediately when it is touched by the falling creature. As the crystal is destroyed, the creature's fall is slowed, thus reducing its effective falling height by the column's height.	Augment For every additional power point you spend, raise the column's height by 60 ft.			Species Archive, Pathfinder Compatible: The Kulvix, pg. 45	https://metzo.miraheze.org/wiki/Helping_Column
Hidden Body	Psychometabolism	None	Olfactory, Visual	1 round	Touch	Target: Willing living creature touched	1 hour / level (D)	None (harmless)	No (harmless)	7	You meld into the touched creature, psionically fusing with their form. At the time of manifesting, it is decided if you or the creature touched are the host and the other is the passenger. While fused, the passenger is dormant and unaware. Any other effects that were on the passenger do not affect the host, and vice versa, while the power is in effect. The passenger does not need to eat, drink, or sleep, has no concept of time, and is not aware of surroundings or anything that occurs to the host. The host can discharge the passenger as a standard action that does not provoke attacks of opportunity. If the host is killed or the power ends, the passenger is immediately discharged adjacent to the host (or the host's last location for effects such as disintegration). You cannot be under the effect of hidden body and fusion at the same time.	Augment: This power can be augmented in one of the following ways.<br><br>• If you spend 4 additional power points, the passenger is aware of everything the host is aware of, although the passenger can still take no actions while fused.<br><br>• If you spend 8 additional power points, the passenger is aware of everything the host is aware of and can take purely mental actions such as manifesting powers, although the passenger is restricted to the senses of the host unless using some other means of senses. The power's duration changes to 1 round / level (D).			Psionics Expanded: Hidden Intentions, pgs. 36–37<br>Psionics Expanded, pg. 166<br>Ultimate Psionics, pg. 210	https://metzo.miraheze.org/wiki/Hidden_Body
Hidden Pocket	Psychoportation	None	Material, Mental	1 standard action	Touch	Target: One unattended object, weighing up to 1 lb./level	1 hour/4 levels (D)	None	No	1	You transfer one touched object to an extradimensional pocket of space in the palm of your hand. This extradimensional space is invisible and weightless, regardless of the weight of the item inside it. When the power ends, the object returns to your hand, although if your hand is not free, the object instead falls to the ground at your feet. You may only have one such extradimensional pocket active at any given time.	Augment: You can augment this power in one or both of the following ways.<br><br>• For every 2 additional power points you spend, the object being stored can weigh an additional pound per level.<br><br>• For every 2 additional power points you spend, you can have one additional item in your extradimensional pocket, although you are still restricted to the weight limit for all of the items combined.<br><br>• If you spend 4 additional power points, the duration increases to one day.			Psionics Expanded: Hidden Intentions, pg. 37<br>Psionics Expanded, pg. 166<br>Ultimate Psionics, pgs. 210–211	https://metzo.miraheze.org/wiki/Hidden_Pocket
Hide Psicrystal	Psychometabolism	None	Visual	1 round	Personal		24 hours or until discharged	None	No	1	You merge your biokinetic aura with that of your psicrystal, allowing your psicrystal to merge into your body. For the duration of the power, the psicrystal cannot be targeted in any way and cannot use any of its powers, but still gives you the benefits of having it close, such as Alertness. It cannot be detected in any way, but the effect can still be detected. The psicrystal can be discharged as a standard action.				Psionics Augmented: Psicrystals, pg. 11	https://metzo.miraheze.org/wiki/Hide_Psicrystal
Hinder	Psychometabolism	None	Auditory	1 standard action	30 ft.	Target: One living creature	1 minute or until discharged; see text	none	yes	Psionic focus or 1	If you make a successful ranged touch attack against the target, it takes a -1 penalty on the next attack roll, saving throw, or skill check. You must choose which type of roll the penalty applies to at the time you manifest the power. If the target does not make that type of roll before the power ends, it has no effect.				Psionics Expanded: Hidden Intentions, pgs. 37–38<br>Psionics Expanded, pgs. 166–167<br>Ultimate Psionics, pg. 211	https://metzo.miraheze.org/wiki/Hinder
Hive Control	Telepathy	None	Olfactory	1 standard action		Target: 1 unintelligent creature or swarm of unintelligent creatures		Will negates	Yes	9	Your willpower seizes hold of a nearby entity of infinitesimal intellect, enabling you to usurp control over their actions. This ability functions as mind control, save that it does not affect a single creature. Rather, it takes control of a single creature or swarm of creatures with an intelligence score of -. Even if such creatures cannot understand your commands, they intuitively know your commands and obey them.	Augment:<br>For every 2 additional power points you spend, you may target one additional creature or swarm with this effect.<br><br>If you spend 6 additional power points, you may use this power to control intelligent swarms or troops as if they were unintelligent swarms.<br><br>For every 2 additional power points you spend (including as part of other augments), the save DC of this power increases by 1.			Terrors from the Id, pgs. 17–18	https://metzo.miraheze.org/wiki/Hive_Control
Horrid Fetter	Athanatism	None	Material and visual	10 minutes	Close (25 ft. + 5 ft./2 levels); see text	Target: One incorporeal creature with 6 HD or less	Instantaneous; see text	Will negates	No and yes; see text	9	By using this power, you attempt to bind an incorporeal creature to an object important to it, which must lie within the powers' range. The called creature is bound to the object and to your service until it agrees to perform one service in return for its freedom.<br><br>First, you must locate an object important to that creature. This can the breath of a dying man, a bloodied sword, or be an object that holds significance to members of its type (a mirror for a mirror shade, for example). When calling a specific individual, you would use things like an item that it wielded in life, a picture of it, the tears of its widow, or its corporeal remains if it is undead. The type of creature must be known and stated. If you wish to call a specific individual, you must use that individual's proper name in manifesting this power.<br><br>The target creature is allowed a Will saving throw. If the saving throw succeeds, the creature resists the power. If the saving throw fails, the creature is immediately drawn to the object (power resistance does not keep it from being called), and is unable to harm or act against you for as long as you hold or own the object it is bound to. You can add a special diagram (a two-dimensional bounded figure with no gaps along its circumference, augmented with various psionic sigils) to make the circle more secure. Drawing the diagram by hand takes 10 minutes and requires a DC 20 Spellcraft check. You do not know the result of this check. If the check fails, the diagram is ineffective. You can take 10 when drawing the diagram if you are under no particular time pressure to complete the task. This task also takes 10 full minutes. If time is no factor at all, and you devote 3 hours and 20 minutes to the task, you can take 20.<br><br>A successful diagram allows you to manifest a wrench spell on the circle during the round before manifesting any summoning power. The anchor holds any called creatures in the circle for 24 hours per manifester level. A creature cannot use its power resistance against a circle prepared with a diagram, and none of its abilities or attacks can cross the diagram. If the creature tries a Charisma check to break free of the trap (see below), the DC increases by 5. The creature is immediately released if anything disturbs the diagram—even a straw laid across it. The creature itself cannot disturb the diagram either directly or indirectly, as noted above<br><br>The creature can flee from you by successfully pitting its power resistance against your manifester level check, by dimensional travel, or with a successful Charisma check (DC 15 + 1/2 your manifester level + your Charisma modifier). It can try each method once per day. If it breaks loose, it can flee or attack you. If the creature is held within a successful circle enhanced by wrench (as described above), they may not escape by dimensional travel.<br><br>If the creature does not break free of this power, you may keep it bound for as long as you wish. You can attempt to compel a creature to perform a service by describing the service and either offering some sort of reward or damaging the object to attempt to coerce it. In either case, you can only attempt to issue the creature commands or negotiate for services once in a 24-hour period, and impossible demands or unreasonable commands are never agreed to.<br><br>For the former case, you make a Charisma check opposed by the creature's Charisma check. The check is assigned a bonus of +0 to +6 based on the nature of the service and the reward. If the creature wins the opposed check, it refuses service. This process can be repeated until the creature promises to serve, until it breaks free, or until you decide to get rid of it by means of some other effect. If you ever roll a natural 1 on the Charisma check, the creature breaks free of the power's effect and can escape or attack you.<br><br>In the latter case, you may damage the object a total of five times to attempt to compel the creature. After the fifth time, the object breaks, and this power ends. When you damage the item (a standard action), the creature takes damage equal to half its maximum hit points, round up, and is sickened for 1 round/level. Instead of taking damage, the creature may follow one command you give it to the best of its ability.<br><br>Once the service or command is completed, the creature need only to inform you to be instantly sent back whence it came. The creature might later seek revenge. If you assign some open-ended task that the creature cannot complete through its own actions, the power remains in effect for a maximum of 1 day per manifester level, and the creature gains an immediate chance to break free (with the same chance to resist as when it was called). Note that a clever recipient can subvert some instructions.	Augment: For each additional power point that you spend, increase the HD of the creature that you can summon by 1. In addition, you may expend your psionic focus to target up to three creatures of the same kind, as long as their total Hit Dice is no more than the total creature HD you are summoning. Each creature gets a saving throw, makes an independent attempt to escape, and must be individually persuaded to aid you.			Psionics Augmented: Seventh Path, pgs. 33–34	https://metzo.miraheze.org/wiki/Horrid_Fetter
Horrid Transformation	Athanatism	Death<br>Evil	Auditory and mental	1 round	Close (25 ft. + 5 ft./2 levels)	Target: One incorporeal creature	5 rounds	Will negates	Yes	13	By wracking a incorporeal creature with incredible pain and suffering, you attempt to transform it into a wraith. The target is stunned for the duration of this power. It can attempt a new save at the end of each of its turns to end this effect – but it receives a penalty on this save equal to the number of rounds it has been stunned (for example, the target's second save is at a -2, the third at a -3, and so on to a maximum of -5 for the fifth save). If all five rounds pass and the target is still stunned by this power, it is immediately destroyed, returning as a wraith in 1d4 rounds. You gain no special control or influence over this wraith – in fact, it is likely to be enraged towards you for the pain you caused it. However, a wraith created through this power suffers a permanent penalty on saves equal to your Charisma modifier against athanatism powers or effects you create.	Augment: You may spend an additional 2 power points to have this power target a corporeal creature within range.	Special: Though this is a death effect, incorporeal undead creatures gain no immunity against this power.		Psionics Augmented: Seventh Path, pg. 34	https://metzo.miraheze.org/wiki/Horrid_Transformation
Hurl Enemy	Psychokinesis	Force	Auditory, Visual	1 standard action	Short (25 ft. + 5 ft./2 levels)	Target: One creature (see text)	Instantaneous	Fortitude negates	Yes	7	You concentrate on a creature and use telekinesis to try to hurl it at another target. The creature being hurled must weigh less than 50 pounds per manifester level. If the targeted creature fails its save, you forcefully launch it at another target that must be within 30 ft. of the affected creature.<br><br>Make a ranged touch attack against the target. If the attack is successful, deal 7d6 points of damage to both the hurled creature and the target of the ranged attack. If the attack misses, deal 3d6 points of damage to the hurled<br>creature.	Augment: For every additional power point spent, the damage to each creature increases by 1d6. For every additional 2d6 of damage, the save DC increases by 1.			Psionics Augmented: Compilation II, pg. 74	https://metzo.miraheze.org/wiki/Hurl_Enemy
Hustle	Psychometabolism	None	Auditory	1 swift action	Personal	Target: You<br>Effect: 1 extra move action	Instantaneous	None	No	Egoist 5, gifted blade 5, marksman 5, psychic warrior 3, vitalist 5	You gain an additional move action in the current round. Taking a full round's worth of attacks and then using this power to move away from your foe does provoke attacks of opportunity.			Mythic Hustle<br><br>The power lasts one additional round per two tiers (minimum 1). You can spend a swift action during the duration to gain an additional move action. If you use the move action provided by mythic hustle, you gain your tier as a bonus to your armor class against any attacks of opportunity provokes by the movement.<br><br>Augmented: If you expend one use of mythic power, the duration becomes one round per tier.	Psionics Unleashed, pg. 118<br>Ultimate Psionics, pg. 211<br>Psionics Augmented: Mythic Psionics, pg. 44	https://metzo.miraheze.org/wiki/Hustle
Hypercognition	Clairsentience	None	Mental	1 standard action or 1 immediate action; see text	Personal	Target: You	Instantaneous	None	No	Cryptic 11, seer 15, tactician 15	You make lightning-fast deductions based on only the slightest clue, pattern, or scrap of memory resident in your mind. You can make reasonable statements about a person, place, or object, seemingly from very little knowledge. However, your knowledge is in fact the result of a rigorously logical process that you force your mind to undertake, digging up and correlating every possible piece of knowledge bearing on the topic (possibly even extracting echoes of knowledge from the Astral Plane).<br><br>The nature of the knowledge you gain concerning the subject of your analysis might include the answer to a riddle, the way out of a maze, stray bits of information about a person, legends about a place or an object, or even a conclusion concerning a dilemma that your conscious mind is unable to arrive at.<br><br>An Intelligence check may be required to obtain the desired information. If so, you can manifest hypercognition as an immediate action prior to making the check and receive a +20 bonus for doing so.			Mythic Hypercognition<br><br>You automatically succeed on any Intelligence check to obtain the desired information.<br><br>Augmented (3rd): If you expend one use of mythic power, the duration becomes one round per level. During this effect, you can gain the benefits of mythic hypercognition as a swift action.	Psionics Unleashed, pg. 118<br>Ultimate Psionics, pg. 211<br>Psionics Augmented: Mythic Psionics, pg. 44	https://metzo.miraheze.org/wiki/Hypercognition
Id Insinuation	Telepathy (Compulsion)	Mind-affecting	Auditory	1 standard action	Close (25 ft. +5 ft./2 levels)	Target: One creature	Concentration + 1 round	Will negates	Yes	3	Swift tendrils of thought disrupt the unconscious mind of any one creature, sapping its might. As long as the manifester remains concentrating fully on this power, the subject is confused, making it unable to independently determine what it will do. Roll on the following table at the beginning of each of the subject's turns to see what the subject does in that round.<br><br>d%<br><br>Behavior<br><br>01–25<br><br>Act normally<br><br>26–50<br><br>Do nothing but babble incoherently.<br><br>51–75<br><br>Deal 1d8 points of damage + Str modifier to self with item in hand<br><br>76–100<br><br>Attack nearest creature (for this purpose, a psicrystal counts as part of the subject's self).	Augment: For every 2 additional power points you spend, this power's save DC increases by 1, and the power can affect an additional target. Any additional target cannot be more than 15 feet from another target of the power.		Mythic Id Insinuation<br><br>Roll on the table below instead of the non-mythic version at the start of each subject's turn to see what it does in that round.<br><br>d%<br><br>Behavior<br><br>01–25<br><br>Subject acts normally, but takes a –2 penalty on all attack rolls, skill checks, and ability checks until its next turn.<br><br>26–50<br><br>Subject does nothing but babble incoherently, and takes a –4 penalty to AC until its next turn.<br><br>51–75<br><br>Subject deals 2d8 points of damage + Str modifier to self with item in hand.<br><br>76–100<br><br>Subject attacks nearest ally (for this purpose, a psicrystal counts as an ally).	Psionics Unleashed, pg. 118<br>Ultimate Psionics, pg. 211<br>Psionics Augmented: Mythic Psionics, pg. 44	https://metzo.miraheze.org/wiki/Id_Insinuation
Illusory Vein	Psychometabolism	None	Visual	1 standard action	Personal	Target: You	1 minute/level	None	No	3	You modify the colors of your body to appear as a member of another vein. You gain a +4 circumstance bonus on Disguise checks to hide your identity and a +8 circumstance bonus on Bluff checks against other kulvix to convince them you are the vein you claim to be.		Special Only kulvix characters may learn this power.		Species Archive, Pathfinder Compatible: The Kulvix, pgs. 45–46	https://metzo.miraheze.org/wiki/Illusory_Vein
Imbue Momentum	Psychoportation	None	Auditory and Mental	1 standard action	Close (25 ft. + 5 ft./2 levels); see text	Target: One Medium or smaller creature	1 round/ level	Reflex negates, Fortitude half (see text)	Yes	2	You warp the space surrounding an individual, causing them to move faster and gain momentum when traveling in a straight line. The subject's speed is increased by 15 feet. Subsequent manifestations of this power on the subject does not further increase their speed. This increase is doubled when the subject moves at least 15 feet in a straight line. Additionally, when making a charge in a straight line, any successful attacks at the end of the charge deal an additional 1d8 of damage.	Augment You can augment this power in one or more of the following ways:<br><br>• For every additional 2 power points you spend, you deal an additional 1d8 of damage to successful attacks at the end of the charge.<br><br>• By spending at least 6 power points on this power, if the first attack at the end of the charge deals damage, the target of the attack must make a Fortitude saving throw or be launched in the direction of your travel path a number of 5-foot squares equal to the number of bonus damage dice granted by this power and land prone.			Species Archive, Pathfinder Compatible: The Kulvix, pg. 46	https://metzo.miraheze.org/wiki/Imbue_Momentum
Imbue Superdensity	Psychokinesis	None	Mental	1 immediate action	Close (25 ft. + 5 ft./2 levels); see text	Target: 1 5-ft. square<br>Area: 30-ft.-radius sphere of altered gravity	1 round/ level	None	No	2	You cause an identified spot to begin growing in density causing a gravitational pull toward that spot. Objects and creatures are treated as one quarter their weight while not in motion, one half their weight when moving towards the spot, and double their weight when moving away from it.<br><br>Additionally, moving away from the spot requires two squares of movement. Moving toward the spot costs half the amount of movement. Light levels are reduced by one in the area.	Augment For every 2 additional power points you spend, the area of this power increases by 5-feet.			Species Archive, Pathfinder Compatible: The Kulvix, pg. 46	https://metzo.miraheze.org/wiki/Imbue_Superdensity
Immortalized Essence	Psychometabolism	None	Olfactory, Visual	1 standard action	Touch	Target: One creature	Concentration (maximum 1 minute)	None	No	13	Your touch suffuses the touched creature with immortalized akasha, causing them to treat all of their essence receptacles as if they were invested with their maximum possible essence capacity for the duration of the power. For the duration, their veils cannot be sundered or suppressed.	Augment For every 2 additional power points you spend, the maximum duration of the power increases by 1 minute.			Studio M— July 2021 Compilation, pg. 19	https://metzo.miraheze.org/wiki/Immortalized_Essence
Immovability	Psychometabolism	None	Visual	1 standard action	Personal	Target: You	Concentration	None	No	7	You are almost impossible to move. Your weight does not vary; instead, you mentally attach yourself to the underlying fabric of the plane. Thus, you could conceivably anchor yourself in midair. Any creature attempting to physically move you must succeed on an opposed Strength check, and you gain a +20 bonus on the check. You can't voluntarily move to a new location unless you stop concentrating, which ends the power.<br><br>You cannot apply your Dexterity bonus to Armor Class; however, your anchored body gains damage reduction 15/–.<br><br>You cannot make physical attacks or perform any other large-scale movements (you can make smallscale movements, such as breathing, turning your head, moving your eyes, talking, and so on). Powers with the teleportation descriptor, or any telekinetic effect, manifested on you automatically fail.	Augment: If you spend 8 additional power points, you can manifest this power as an immediate action.		Mythic Immovability<br><br>Non-mythic creatures are unable to move you. You add your mythic tier to the opposed Strength check to move you against mythic creatures.<br><br>Augmented: If you expend one use of mythic power, you can make attacks of opportunity while under the effects of mythic immovability.	Psionics Unleashed, pg. 118<br>Ultimate Psionics, pgs. 211–212<br>Psionics Augmented: Mythic Psionics, pg. 44	https://metzo.miraheze.org/wiki/Immovability
Improved Response	Psychoportation	Network	Mental, Visual	1 standard action	Close (25 ft. + 5 ft./2 levels)	Target: One creature	Instantaneous	Will negates (harmless)	Yes (harmless)	5	You accelerate the reaction time of the target, allowing them to take this round's actions ahead of the creature who would have otherwise gone immediately before the target. If this would place the target before you and he has not already taken this round's actions, the target must immediately take this round's actions. If the target has already taken this round's actions, the power affects them on the next round.<br><br>A creature may only be affected by this power once per round. This power does not allow a creature to act in a round if he would not normally be allowed to (such as during the surprise round).	Augment: For every additional 6 power points spent, the target's place in the initiative order is improved by one additional step.			Psionics Expanded: Pawns and Powers, pgs. 18–19<br>Psionics Expanded, pg. 167<br>Ultimate Psionics, pg. 212	https://metzo.miraheze.org/wiki/Improved_Response
Improvise	Clairsentience	None	Mental	1 swift action	Personal	Target: You	1 round	None	No	3	Your ability to form and implement a plan rapidly is improved. When you manifest this power, you can use the Readying An Action special initiative action without specifying the conditions that will trigger your readied action. You must still specify what action you will take as your readied action.	Augment: If you spend six additional power points, the duration increases to 1 round per level, but once you take the readied action, the power ends.		Mythic Improvise<br><br>You no longer need to specify what action you intend to take as your readied action.	Psionics Augmented: Powers, pgs. 11–12<br>Psionics Augmented: Compilation II, pgs. 74–75	https://metzo.miraheze.org/wiki/Improvise
Incarnate (power)	Metacreativity	None	Material	2 rounds	See text	Target: See text<br>Area: See text<br>Effect: See text	Permanent; see text	None	No	9	This power makes certain other powers permanent by mimicking the qualities of psionic tattoos. Depending on the power to be affected, you must be of a minimum manifester level and must expend a specific gp value of diamond dust and tattoo ink.<br><br>You can make the powers on the incarnate power list permanent only in regard to yourself, and must have a manifester level at least 8 higher than the level of the power to be made permanent. Powers made permanent in this way can be dispelled only by a manifester of higher level than you were when you manifested the power. Powers made permanent by incarnate are not shared through the fission power, and the effect does not end when fission ends.<br><br>You manifest the desired power and then follow it with the incarnate manifestation.<br><br>Additionally, at the GM's discretion, additional powers may be made permanent using the following formula: GP cost = (Minimum Manifester Level – 8) x 2,500 GP. Should the power being made permanent be augmented, increase the GP cost by 1,250 GP for every power point spent on augmentation.<br><br>Incarnate Power List<br><br>Power<br><br>Minimum Manifester Level<br><br>GP Cost<br><br>aura sight<br><br>15th<br><br>17,500 GP<br><br>compression<br><br>9th<br><br>2,500 gp<br><br>conceal thoughts<br><br>9th<br><br>2,500 GP<br><br>correspond<br><br>10th<br><br>5,000 GP<br><br>danger sense<br><br>13th<br><br>12,500 GP<br><br>detect psionics<br><br>9th<br><br>2,500 GP<br><br>detect remote viewing<br><br>12th<br><br>10,000 GP<br><br>detect teleportation<br><br>9th<br><br>2,500 GP<br><br>elfsight<br><br>10th<br><br>5,000 GP<br><br>expansion, karak's<br><br>9th<br><br>2,500 GP<br><br>heightened vision<br><br>11th<br><br>12,500 GP<br><br>know direction and location<br><br>9th<br><br>2,500 GP<br><br>metaphysical claw<br><br>9th<br><br>2,500 gp<br><br>my light<br><br>9th<br><br>2,500 GP<br><br>ubiquitous vision<br><br>11th<br><br>7,500 GP<br><br>wall of ectoplasm<br><br>12th<br><br>10,000 GP			Mythic Incarnate<br><br>A mythic incarnate (and any effect it makes permanent) cannot be dispelled by non-mythic means, up to and including non-mythic mage's disjunction or unravel psionics, and you add your mythic tier to DC of manifester level checks made to dispel your mythic incarnate even with mythic effects. If you use mythic incarnate on yourself, it can be dispelled only by a mythic creature, and only if their manifester level plus their mythic tier exceeds your manifester level plus your mythic tier.<br><br>Augmented: You can reduce the gp cost of manifesting mythic incarnate by 500 gp per use of mythic power you expend while manifesting the power.<br><br>Augmented (3rd): If you expend two uses of mythic power, you can target a psionic item with mythic incarnate while spending 1,000 gp times the item's manifester level. That item gains immunity to having its powers negated or suppressed by any non-mythic effect, including a non-mythic null psionics field, dispel psionics, unravel psionics, rod of cancellation, or rod of negation.	Psionics Unleashed, pg. 119<br>Ultimate Psionics, pg. 212<br>Psionics Augmented: Mythic Psionics, pgs. 44–45	https://metzo.miraheze.org/wiki/Incarnate_(power)
Incite Passion	Telepathy	Mind-affecting	Material, Olfactory	1 standard action	Close (25 ft. + 5 ft./2 levels)	Target: One creature	1 round / level	Will negates	Yes	7	The target creature's mind is subtly altered to embrace its more instinctual urges instead of logic. For the duration of the power, the target creature takes a -2 penalty on all Intelligence-related checks and may not take 10 or take 20 on any skill check. In addition, the target cannot competently grasp combat tactics and suffers a -2 penalty on attack rolls and Armor Class, cannot fight defensively, and cannot use Combat Expertise or any other feats that require it.			Mythic Incite Passion<br><br>Add half your mythic tier (minimum 1) to the penalties suffered by the target.<br><br>Augmented: If you expend one use of mythic power, the target must make concentration checks to cast spells or manifest powers (DC equal to 14 plus your key ability modifier plus your mythic tier.)	Psionics Expanded: Mind Over Body, pg. 17<br>Psionics Expanded, pg. 167<br>Ultimate Psionics, pgs. 212–213<br>Psionics Augmented: Mythic Psionics, pg. 45	https://metzo.miraheze.org/wiki/Incite_Passion
