name	slot	descriptors	effect	bind_effect	is_retold	source	url
Izanami's Nodachi (Retold)	Hands, Wrists, Body	Curse, Darkness, Death, Enhanced			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Jack's Lantern	Hands, Wrists	Evil, Fire, Necromancy	Summon a jack-o-lantern that acts as a light hammer.	Hands: Creatures illuminated by your lantern are protected by a hide from undead spell<br>Wrists: Gain Hands bind, confirming a critical hit places a doom mark, marked creatures who die are turned into soul gems		Akashic Tales: Hallow Icons	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Jack's Lantern (Enhanced)	Hands, Wrists	Enhanced, Evil, Fire, Necromancy	Summon a jack-o-lantern that acts as a light hammer.	Hands: Creatures illuminated by your lantern are protected by a hide from undead spell<br>Wrists: Gain Hands bind, confirming a critical hit places a doom mark, marked		Akashic Tales: Hallow Icons	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Janni's Enchanted Blade	Hands, Wrists, Belt	Acid, Cold, Electricity, Enhanced, Fire				Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Jewel of Thoughtsight	Head, Headband	Mind-affecting, Variant	Detect the thoughts of nearby creatures.	Head: Draw specific information from the minds you detect.<br>Headband: Detect location of creatures who are affected as per thoughtsense.		Expanded Akasha: Variant Arsenal	https://metzo.miraheze.org/wiki/Guru_Veil_List
Juggernaut Blade	Hands	Enhanced, Paired	Wield a massive blade with one of two powerful forms, a greatsword and a shield.	Increase your reach or gain temporary hit points when making AoOs.		Akashic Classes: Kheshig	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Juggernaut Plating	Body, Shoulders	Enhanced	Destroy walls and objects you move into.	Shoulders: Triple your Strength for break DCs.<br>Body: Gain Shoulders bind, gain temporary hit points when destroying things.		Akashic Classes: Kheshig	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Kaiju's Gullet	Neck, Shoulders	Fleshwarp				Akashic Tales: Tokusatsu	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Karna-Kavacha	Chest	Enhanced				Akashic Tales: Astradhari's Panoply	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Kazekatta	Belt	Air, Enhanced	Create a katana that puts creatures off guard when used to iaijutsu.	Attack with a wind slash that damages all creatures in a line.		The Soulforge: Spirit of a Hero	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Kesariya Robe	Shoulders	Enhanced, Light, Mind-affecting				Akashic Tales: Astradhari's Panoply	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Killer's Baleful Sight	Head, Wrists, Headband	Divination				Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
King of All Weapons	Hands, Wrists	Enhanced				Akashic Expansions: Tai Lin	https://metzo.miraheze.org/wiki/Daevic_Veil_List
King's Keys	Hands, Belt					The Fisherking	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
King's Keys (Enhanced)	Hands, Belt	Enhanced	Create a sap, gain a bonus to Disable Device, make Disable Device checks untrained.	Hands: Imitate knock or arcane lock.<br>Belt: Gain Hands bind, mass knock, or passwall.		Studio M— April 2021 Compilation; The Soulforge: Content Compendium	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Kusanagi's Woe	Hands, Wrists, Belt	Air, Dao, Earth, Enhanced, Fire, Water				Whispers of Immortality	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Lance Cannons	Shoulders	Acid, Fleshwarp	Gain two ranged natural attacks that deal piercing and acid damage.	Attack foes with a shrapnel burst that deals triple damage.		Eldritch Essences: Promethean	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Lash of the Trickster	Wrists	Variant				Expanded Akasha: Variant Arsenal	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Lashing Blood	Blood		Your blood spears foes and pulls them closer.	Your blood spears draw the blood out of other creatures to heal you.		Studio M— January 2021 Compilation	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Lashing Blood (Retold)	Blood, Neck				yes	Akasha Retold: Daevic	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Lashing Spinnerets	Hands, Wrists		Gain arachnid themed abilities	Gain arachnid themed abilities		Akashic Mysteries	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Lashing Spinnerets (Akasha Retold)	Hands, Wrists				yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Laundress's Sheet	Hands, Wrists	Enhanced, Water	Create a bladed scarf that functions as a short bridge.	Hands: Designate specific creatures to fall through the bridge when they attempt to cross.<br>Wrists: Take essence burn when tripping creatures to trap them in water.		Akashic Tales: Red's Peril	https://metzo.miraheze.org/wiki/Lunar_Veil_List
Lavawalker's Boots	Feet		Walk on liquids and gain resistances.	Float above ground, move over empty air.		Akashic Mysteries	https://metzo.miraheze.org/wiki/Guru_Veil_List
Lavawalker's Boots (Retold)	Feet	Fire			yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Leaping Gait	Feet	Fleshwarp	Jump without a running start, gain a large bonus to Acrobatics when jumping and falling.	Double the amount of distance you can move in a round when jumping, your jumps do not provoke AoOs.		Eldritch Essences: Promethean	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Lenses of the Seer	Head, Neck	Divination	Gain the ability to detect magic, as well as bonuses to identify items, spells, and veils.	Head: Gain arcane sight.<br>Neck: Gain arcane sight & identify magic items.		Stormbound, Pathfinder Compatible; Akashic Staples	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Liar Liar	Head	Fire	Gain a bonus to Sense Motive, light a creature on fire if they lie to you.	Gain a zone of truth aura and creatures lit on fire cannot be extinguished unless they confess.		April Tools Day	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Liar's Horns	Head	Glamer, Illusion	Gain bonuses to Bluff and Diplomacy, reroll these checks a few times per day.	Reshape self & others.		Akashic Realms Volume 1: Emperors & Einherjar	https://metzo.miraheze.org/wiki/Nexus_Veil_List
Life Drinker	Wrists	Enhanced, Evil				The Soulforge: Spirit of a Hero	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Lifechannel Ring	Ring	Good	Create a burst of positive energy.	The dice of the burst increase to d8s, gain a bonus to healing.		Studio M— January 2021 Compilation	https://metzo.miraheze.org/wiki/Vizier_Veil_List
Lifechannel Ring (Retold)	Ring	Healing, Positive Energy			yes	Expanded Akasha — Corrupted Souls	https://metzo.miraheze.org/wiki/Vizier_Veil_List
Lifetaker's Runed Blade	Hands	Enhanced	Create a greatsword, dueling sword, or shortsword. Heal when you defeat a creature, sacrifice HP to deal extra damage and ignore enemy defenses.	When you defeat a creature, they must make a Will save or die instantly, granting a bonus to STR and DEX.		The Tome of Veils	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Light Step	Feet					Akashic Expansions: Tai Lin	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Light Whip	Ring		A whip of light trips nearby enemies	Trip all enemies in range		Akashic Mysteries	https://metzo.miraheze.org/wiki/Vizier_Veil_List
Light Whip (Retold)	Ring	Light			yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Vizier_Veil_List
Light Within Flesh	Head, Belt, Body	Light, Variant				Expanded Akasha: Variant Arsenal	https://metzo.miraheze.org/wiki/Promethean_Veil_List
Lightdash Bindings	Hands, Feet		Turn into light and dash in a straight line, attack a creature you pass through.	Hands: Strike everyone in dash.<br>Feet: Double-dash.		Stormbound, Pathfinder Compatible; Stormbound: Renewed Focus	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Lightdash Bindings (Akasha Retold)	Hands, Feet	Light			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Lightning Rail	Hands, Shoulders	Electricity, Enhanced	Create a rifle that deals electricty damage.	Hands: Overcharge the rifle to attack all creatures in a line.<br>Shoulders: Gain Hands bind, overcharge is now a free action.		Studio M— September 2021 Compilation	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Lightning Rod	Hands, Wrists	Enhanced, Electricity				Hopes and Feasts - Recipe for Success	https://metzo.miraheze.org/wiki/Huay_Veil_List
Limbforge Accelerator	Hands	Fleshwarp				Expanded Akasha: Combatants and Corruption	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Liminal Repartee	Headband, Neck	Charm	Gain bonuses to Perform (comedy) and use it in place of Bluff or Diplomacy checks.	Headband: Increase aid another bonuses.<br>Neck: Immediately counter verbal spells.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Guru_Veil_List
Liminal Repartee (Retold)	Headband, Neck	Charm, Mind-affecting			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Guru_Veil_List
Line in the Sand	Feet	Brand	Branded creature cannot approach you within a certain area unless they save.	Branded creature treats the area they cannot approach as difficult terrain, even if they save.		Akashic Classes: Volur	https://metzo.miraheze.org/wiki/Guru_Veil_List
Lion's Heart	Chest		Gain immunity to fear, resist outside influences.	Your allies gain the benefits of this veil.		Akashic Classes: Kheshig	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Loreseeker's Gloves	Hands	Divination	Gain understanding from a book in a short amount of time.	Read books in detail at speed.		Stormbound, Pathfinder Compatible; Akashic Staples	https://metzo.miraheze.org/wiki/Guru_Veil_List
Lover's Tread	Feet		Gain bonuses to trip, Bluff opponent to prevent attack of opportunity.	Charm tripped foes.		Akashic Mysteries	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Lover's Tread (Retold)	Feet	Charm, Mind-affecting			yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Loyal Paladin's Spear of Light	Hands	Good	Create a spear made of purified akashic energy.	Turn spear into damaging blast.		Akashic Mysteries	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Loyal Paladin's Spear of Light (Enhanced)	Hands	Enhanced, Good	Create a spear made of purified akashic energy.	Turn spear into damaging blast.		The Soulforge: Content Compendium	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Loyal Paladin's Spear of Light (Retold)	Hands	Enhanced, Good, Light			yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Loyal Paladin's Spear of Light (Spheres of Akasha)	Hands	Enhanced, Good				Spheres of Akasha	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Luminosity of the Lurker in Light	Body	Light	Gain bonuses to Stealth checks which increase in bright light.	Continual invisibility & divination resistance.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Guru_Veil_List
Luminosity of the Lurker in Light (Retold)	Headband, Body	Light			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Guru_Veil_List
Lyricist's Lament	Wrists	Enhanced, Sonic				The Soulforge: Spirit of a Hero	https://metzo.miraheze.org/wiki/Daevic_Veil_List
MacAlister's Mystical Plough	Wrists		Conjure a plough that does the work of multiple people.	Plants grown in soil tilled by the plough are affected by plant growth.		April Tools Day	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Machinist's Pile Bunker	Hands, Wrists	Enhanced	Shape a pair of powerful akashic weapons that can be charged for extra damage.	Hands: Spend charges to sunder or bull rush.<br>Wrists: Gain Hands bind, plus charges have more powerful effects.		Studio M— March 2021 Compilation	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Machinist's Powered Armor	Shoulders	Enhanced	Create a special, lightweight suit of armor that can be concealed beneath your clothes.	Your armor grants the power of flight.		Studio M— March 2021 Compilation	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Mage's Final Trick	Hands, Wrists	Creation, Teleportation				Hopes and Feasts - Recipe for Success	https://metzo.miraheze.org/wiki/Guru_Veil_List
Mageblight	Neck	Brand	Branded creature has a d% chance of failing to use magical abilities.	Failing the d% chance reverses the magic to affect the branded creature.		Akashic Classes: Volur	https://metzo.miraheze.org/wiki/Guru_Veil_List
Magecraft Repeater	Hands	Acid, Cold, Electricity, Enhanced, Fire				Expanded Akasha: Combatants and Corruption	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Mageslayer's Greatblade	Hands	Divination, Enhanced	Create a greatsword that can detect mages and ignores their resistances, use detect magic as an SLA.	Sense mages as blindsense, prevent them from teleporting after being struck.		The Tome of Veils	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Mai'yr's Band	Wrists, Headband	Air, Cold, Earth, Electricity, Fire	Launch blasts of elemental energy.	Wrists: Unleash a full attack of blasts.<br>Headband: Make elemental attack across wide area.		Stormbound, Pathfinder Compatible; Stormbound: Renewed Focus	https://metzo.miraheze.org/wiki/Guru_Veil_List
Mai'yr's Band (Retold)	Wrists, Headband	Air, Cold, Earth, Electricity, Fire			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Guru_Veil_List
Mai'yr's Earring of Shrouded Auras	Head, Headband					The Scribe's Archive	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Mai'yr's Earthen Binding	Hands, Head	Earth				Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Mai'yr's Icy Glare	Head	Cold	You can see through fog, ice, rain, and snow.	Gain gaze attack that either sways or slows creatures.		Studio M— December 2020 Compilation	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Maiden's Voice	Neck, Voice	Compulsion, Familiar, Good, Law, Mind-affecting, Summoning				Echoes of Magic — What Is Spoken	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Mantle of Corrupted Power	Shoulders	Corrupt				Expanded Akasha — Corrupted Souls	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Mantle of Infernal Dukedom	Body	Evil, Law	Gain immunity to poison and spell resistance that increases against chaotic and good effects.	Raise victims as ghosts.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Guru_Veil_List
Mantle of Murderous Intent	Shoulders, Body	Mind-affecting	Blast foes with a cone of mental energy.	Shoulders: Panic victims & exclude allies from area.<br>Body: Stun & exclude targets, progress to Wisdom damage.		Akashic Mysteries	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Mantle of Murderous Intent (Akasha Retold)	Shoulders, Body	Mind-affecting			yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Mantle of Nature	Shoulders, Chest	Air, Earth, Variant, Water				Expanded Akasha: Variant Arsenal	https://metzo.miraheze.org/wiki/Guru_Veil_List
Mantle of Temporal Manipulation	Head, Shoulders	Time				Expanded Akasha — Timely Cunning	https://metzo.miraheze.org/wiki/Nexus_Veil_List
Mantle of the Horned Judge	Hands, Wrists, Body	Teleportation				Akashic Tales: Gifts of Winter Pageantry	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Mantle of the Jolly Saint	Chest					Akashic Tales: Gifts of Winter Pageantry	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Mantra of Reprisal	Neck		Begin a mantra as a standard action and make retaliatory attacks against foes that attack you.	Retaliate if foes attack your allies as well.		The Tome of Veils	https://metzo.miraheze.org/wiki/Nexus_Veil_List
Manyfold Aspect	Head, Headband	Fleshwarp				Akashic Tales: Astradhari's Panoply	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Marid's Sanadils	Feet	Cold, Water	Gain a swim speed and bonuses against being tripped.	Use swim speed on land & drown foes with a trip.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Guru_Veil_List
Marilith's Aspect	Shoulders	Fleshwarp	Gain two additional arms and Multiweapon Fighting.	Gain two more arms.		Studio M— November 2021 Compilation	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Mark of the Gate Guardian	Hands	Enhanced, Paired	Use two shields to pummel your foes into submission.	Increase all ally shield AC when you hit with shield bashes.		Akashic Classes: Kheshig	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Mark of the Wounded Beast	Hands	Enhanced, Paired, Steady, Poison	Inflict a slow death with poison and bleed.	Your attacks ignore immunity to bleed and poison.		Akashic Classes: Kheshig	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Martial Artist's Striking Wraps	Hands, Feet, Belt	Enhanced				Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Martyr's Bulwark	Hands, Wrists	Enhanced	Create a heavy steel shield, grant the shield's AC bonus to your allies.	Hands: Give allies a miss chance instead of a shield bonus to AC.<br>Wrists: Gain Hands bind, take damage for your allies.		The Tome of Veils	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Martyr's Toga	Body	Good	Take an ally's wound upon yourself.	Gain fast healing.		Akashic Mysteries	https://metzo.miraheze.org/wiki/Guru_Veil_List
Martyr's Toga (Retold)	Neck, Body	Healing			yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Guru_Veil_List
Mask of Elemental Adaptation	Head	Acid, Cold, Fire, Electricity, Sonic	Convert elemental damage to a different type.	Impede elemental attackers.		Akashic Mysteries	https://metzo.miraheze.org/wiki/Guru_Veil_List
Mask of Elemental Adaptation (Akasha Retold)	Head	Acid, Cold, Fire, Electricity, Sonic			yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Mask of Stone	Head	Brand	Branded creature is deaf and treats other creatures as having concealment.	Branded creature cannot speak, use verbal components, and may suffocate		Akashic Classes: Volur	https://metzo.miraheze.org/wiki/Helmsman_Veil_List
Mask of the Hunter	Head		Gain the scent ability and bonuses to Survival.	Gain information about creatures you locate with scent.		Akashic Classes: Kheshig	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Mask of the Hunter (Retold)	Head				yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Mask of the Nosoi	Head	Emotion, Fear	Gain bonuses to Sense Motive checks, creatures whose lies you detect are frightened.	Induce fear in those who conceal things from you.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Mask of the Succubus	Head	Mind-affecting	Gain bonuses to Bluff and Diplomacy checks.	Gain a soul draining, addictive kiss.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Guru_Veil_List
Master's Edge	Hands	Enhanced, Paired, Variant				Expanded Akasha — Corrupted Souls	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Master's Sash	Belt					Akashic Expansions: Tai Lin	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Maw of the Starving Beast	Head		Gain a powerful bite natural attack.	The power of your bite increases, consume the flesh of those you bite to heal yourself.		Studio M— June 2021 Compilation	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Maw of the Starving Beast (Akasha Retold)	Head				yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Maws of Devouring	Hands, Belt	Fleshwarp	Store items within your body.	Hands: Consume and draw out items as a free action.<br>Belt: Gain Hands bind, store more items, gain bite natural attack with swallow whole in torso.		Eldritch Akasha — Obsessions of Mortality	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Meditant's Book of Sutras	Headband	Divination, Variant				Echoes of Magic — What Is Spoken	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Merchant's Mantle	Shoulders		Gain bonuses against grapple, reposition, and steal attempts.	Escape grapples and counter-steal stolen items.		Classes of the Lost Spheres: Zodiac	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Mermaid's Tail	Belt, Feet	Teleportation, Water	Breathe water and air, gain a swim speed.	Feet: Teleport within liquids<br>Belt: Gain Feet bind, use create water, rising water, and control water as SLAs		Akasha Reshaped: Moon and Tides	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Messenger of Great Moths	Head, Headband, Neck	Familiar				Akashic Tales: Tokusatsu	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Metabolist's Scarf	Neck		Gain protection from bleed damage and a bonus to the Metabolic Healing ability.	Use adapt body to acclimatise self and allies to extreme locales.		Akashic Mysteries	https://metzo.miraheze.org/wiki/Guru_Veil_List
Metabolist's Scarf (Retold)	Neck	Healing, Psionic			yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Mindspan Nexus	Head, Headband	Fleshwarp	Communicate telepathically with allies.	Head: Increase the distance of your telepathy to miles.<br>Headband: Telepathy distance increases to tens of miles, allows chaining distance, and two-way sharing of senses.		Eldritch Essences: Promethean	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Mindspawn Parasite	Head	Familiar, Fleshwarp	You release part of your brain as a familiar, it can infest and control others.	Your familiar can infest unwilling creatures.		Akashic Horrors	https://metzo.miraheze.org/wiki/Promethean_Veil_List
Mjolnir	Hands, Wrists	Electricity, Sonic				Akashic Realms Volume 1: Emperors & Einherjar	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Mjolnir (Enhanced)	Hands, Wrists	Electricity, Enhanced, Sonic	Create a warhammer that can be thrown.	Hands: Counter weapon-takers with lightning.<br>Wrists: Gain Hands bind, teleport into melee on hit, increase damage upon a critical hit.		Studio M— February 2021 Compilation; The Soulforge: Content Compendium	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Mobius Ribbon	Hands, Headband, Belt		Repeat an instantaneous effect.	Increase duration on nearby effect.		City of Seven Seraphs	https://metzo.miraheze.org/wiki/Radiant_Veil_List
Molten Scales	Chest, Shoulders	Armor, Fire				Stormbound, Pathfinder Compatible	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Molten Scales (Enhanced)	Chest, Shoulders	Enhanced, Fire	Create a suit of scale mail, reduce the armor bonus to gain temporary HP.	Shoulders: Sacrifice AC to gain concealment & fiery counterattack.<br>Chest: Sacrifice AC to gain concealment & fiery counterattack or elemental form, defenses & flight.		Stormbound: Renewed Focus	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Monster Hunter's Cloak	Shoulders		Gain Knowledge when identifying monsters.	Your allies gain the benefits of this veil.		Akashic Classes: Kheshig	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Monster Hunter's Cloak (Akasha Retold)	Shoulders				yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Mother of All Weapons	Hands	Enhanced, Ki				Akashic Expansions: Tai Lin	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Mummy's Wrappings	Body	Teleportation	Gain bonuses against necromancy and transmutation effects.	Summon a sarcophagus that puts a creature under temporal stasis, retreat to the sarcophagus when you are defeated		Akashic Tales: Hallow Icons	https://metzo.miraheze.org/wiki/Helmsman_Veil_List
Murder's Mask	Head, Headband	Polymorph				Akashic Horrors — Corvid's Coterie	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Mutagenic Adaptation	Body	Chaos, Fleshwarp				Akashic Tales: Tokusatsu	https://metzo.miraheze.org/wiki/Helmsman_Veil_List
Nano-Material Extruder	Hands, Wrists	Creation, Enhanced				Akashic Tales: Tokusatsu	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Nature's Wrath	Shoulders, Belt	Mark				Akashic Archives	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Navigator's Boon	Interface		Constantly know direction and location.	Use find the path.		Arcforge: Technology Expanded	https://metzo.miraheze.org/wiki/Helmsman_Veil_List
Network Interfacer	Head, Headband	Mind-affecting, Phantasm	Gain detect mindscape at will and bonuses to Knowledge checks.	Head: Use create mindscape & mindscape door to place people in mental landscapes.<br>Headband: Create permanent greater mindscape & use mindscape door.		Arcforge Campaign Setting: Far-Flung Frontiers	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Neurospore Mycorrhiza	Head, Headband		Gain tremorsense and the ability to communicate with plant creatures.	Head: Gain thoughtsense and the ability to communicate with any intelligent creature.<br>Headband: Gain Head bind, speak with plants, and your thoughtsense now works as blindsight.		Studio M— September 2021 Compilation	https://metzo.miraheze.org/wiki/Huay_Veil_List
Nightmare's Eye	Headband	Mind-affecting, Sleep	Afflict a creature with intense drowsiness, which may put them to sleep.	Creatures put to sleep by this veil take damage each turn.		Eldritch Essences: Promethean	https://metzo.miraheze.org/wiki/Guru_Veil_List
No Mind	Head, Headband	Ki				Akashic Expansions: Tai Lin	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Nothingness Shroud	Shoulders	Darkness	Gain bonuses to Sleight of Hand and Stealth checks.	Roll Stealth to negate incoming damage & absorb light.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Nothingness Shroud (Akasha Retold)	Shoulders	Darkness			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Nymph's Visage	Head, Headband, Neck	Charm	Gain bonuses to Diplomacy and Handle Animal, use wild empathy as a druid.	Head: Stun target with a look.<br>Headband: Blind nearby viewers.<br>Neck: Add boosted charisma to saves & ac.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Huay_Veil_List
Nymph's Visage (Retold)	Head, Headband, Neck	Charm, Mind-affecting			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Huay_Veil_List
Obelisk of the Unknown	Head, Headband	Evil, Summoning				Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Nexus_Veil_List
Odin's Noose	Neck	Divination	Gain a bonus to untrained Knowledge checks, make Knowledge checks untrained, shape veils not on your list.	Use scrying or greater scrying.		Akashic Realms Volume 1: Emperors & Einherjar	https://metzo.miraheze.org/wiki/Guru_Veil_List
Ominous Leap	Feet, Belt	Fear, Mind-affecting, Teleportation				Akashic Horrors — Grisly Fates	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Orb of Recorded Time	Wrists	Divination, Enhanced, Scrying, Time, Variant				Expanded Akasha — Timely Cunning	https://metzo.miraheze.org/wiki/Guru_Veil_List
Orbital Force	Hands, Shoulders	Dao, Enhanced, Light, Darkness				Whispers of Immortality	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Pact Binder's Pendant	Neck	Charm	Gain a bonus to Linguistics and use Linguistics when bartering.	Use conditional favor to bind agreements on pain of lost benefit.		The Fisherking	https://metzo.miraheze.org/wiki/Guru_Veil_List
Paradox Diadem	Head, Headband	Cold, Fire				Expanded Akasha — Corrupted Souls	https://metzo.miraheze.org/wiki/Guru_Veil_List
Parasol of the Drifting Bloom	Hands, Wrists	Dao, Enhanced, Poison				Apocryphal Disciplines — Intoxicating Petal	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Parter of Shrouds	Headband	Evil				Eldritch Akasha — Whispers of the Old Ones	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Pasha's Crushing Gauntlets	Wrists	Earth	Gain bonuses on bull rush and overrun attempts.	Force meld into stone onto Bull Rushed foes.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Patrolman's Greatcloak	Shoulders	Teleportation				Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Perihelion Pauldrons	Shoulders	Acid, Cold, Fire, Electricity, Light, Sonic	Gain a bonus to AC and retaliate against attackers with energy damage.	Blind attackers & banish darkness.		Classes of the Lost Spheres: Zodiac	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Personal Protective Equipment	Shoulders, Belt	Enhanced	Create a suit of lamellar leather armor that grants a bonus to Diplomacy checks and shares bonuses from other set veils.	Shoulders: Climb without using your hands.<br>Belt: Gain Shoulders bind, share different bonuses with your allies.		April Tools Day	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Pestilence Cloak	Feet, Shoulders	Mind-affecting, Phantasm	Gain illusory concealment.	Feet: Gain fly speed.<br>Shoulders: Sicken nearby attackers.		Akashic Mysteries	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Pestilence Cloak (Retold)	Feet, Shoulders				yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
